,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,TFT6_Augment_ThrillOfTheHunt2,TFT6_Augment_Weakspot,TFT7_Augment_ShapeshifterTrait,4,"['TFT7_Nidalee', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Deathblade', 'TFT_Item_Quicksilver']","['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'TFT_Item_Shroud', 'noItems', 'noItems']","['TFT7_Swain', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Neeko', 1, 'TFT_Item_Morellonomicon', 'noItems', 'noItems']","['TFT7_Shyvana', 1, 'TFT_Item_TitansResolve', 'TFT_Item_FrozenHeart', 'TFT_Item_RabadonsDeathcap']","['TFT7_Soraka', 2, 'TFT_Item_TearOfTheGoddess', 'noItems', 'noItems']",,,,,
1,TFT6_Augment_ThreesCompany,TFT6_Augment_MakeshiftArmor1,TFT6_Augment_PortableForge,6,"['TFT7_Gnar', 2, 'TFT_Item_NegatronCloak', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT4_Item_OrnnMuramana', 'TFT_Item_JeweledGauntlet', 'noItems']","['TFT7_Neeko', 1, 'TFT_Item_TitansResolve', 'TFT_Item_TitanicHydra', 'noItems']","['TFT7_DragonGreen', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_Bloodthirster', 'TFT_Item_DragonsClaw']","['TFT7_Bard', 1, 'TFT_Item_PowerGauntlet', 'noItems', 'noItems']","['TFT7_TrainerDragon', 2, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,,
2,TFT6_Augment_TinyTitans,TFT6_Augment_Ascension,TFT7_Augment_CannoneerRicochet,8,"['TFT7_Skarner', 2, 'TFT_Item_RedBuff', 'TFT_Item_WarmogsArmor', 'noItems']","['TFT7_TahmKench', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Thresh', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Jinx', 1, 'TFT_Item_Spatula', 'noItems', 'noItems']","['TFT7_Tristana', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 1, 'TFT_Item_InfinityEdge', 'TFT_Item_LastWhisper', 'TFT_Item_Quicksilver']","['TFT7_Sona', 2, 'TFT_Item_SeraphsEmbrace', 'noItems', 'noItems']","['TFT7_TrainerDragon', 2, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
3,TFT6_Augment_SecondWind2,TFT6_Augment_Ascension,TFT7_Augment_BigFriend2,2,"['TFT7_Qiyana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Elise', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_Redemption', 'TFT_Item_ZekesHerald', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_TitansResolve', 'TFT_Item_Bloodthirster', 'TFT_Item_Quicksilver']","['TFT7_Ornn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yasuo', 1, 'TFT_Item_Quicksilver', 'TFT_Item_SpearOfShojin', 'TFT_Item_StatikkShiv']","['TFT7_Pyke', 2, 'TFT_Item_Zephyr', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_TearOfTheGoddess']",,,,
4,TFT6_Augment_Electrocharge2,TFT6_Augment_ItemGrabBag1,TFT6_Augment_CyberneticUplink2,6,"['TFT7_Leona', 2, 'TFT_Item_BrambleVest', 'TFT_Item_ArchangelsStaff', 'noItems']","['TFT7_Yone', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_LeeSin', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ornn', 2, 'TFT7_Item_MirageEmblemItem', 'noItems', 'noItems']","['TFT7_DragonBlue', 1, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_Quicksilver', 'TFT_Item_GuinsoosRageblade']","['TFT7_Yasuo', 1, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_InfinityEdge', 'TFT_Item_ZekesHerald']",,,,,
5,TFT6_Augment_PortableForge,TFT6_Augment_Weakspot,TFT6_Augment_CelestialBlessing1,2,"['TFT7_Thresh', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Elise', 3, 'TFT_Item_RabadonsDeathcap', 'TFT_Item_WarmogsArmor', 'TFT_Item_DragonsClaw']","['TFT7_Swain', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_RedBuff', 'noItems', 'noItems']","['TFT7_DragonPurple', 2, 'TFT4_Item_OrnnInfinityForce', 'TFT_Item_InfinityEdge', 'TFT_Item_LastWhisper']","['TFT7_Ornn', 2, 'TFT_Item_FrozenHeart', 'TFT_Item_GuardianAngel', 'TFT_Item_NegatronCloak']","['TFT7_Pyke', 2, 'TFT7_Item_TempestEmblemItem', 'TFT_Item_RedBuff', 'noItems']",,,,
6,TFT6_Augment_ThreesCompany,TFT6_Augment_Ascension,TFT7_Augment_AstralIntercosmicGifts,5,"['TFT7_Vladimir', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nidalee', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'TFT_Item_SpearOfShojin', 'TFT_Item_ArchangelsStaff', 'TFT_Item_GargoyleStoneplate']","['TFT7_Varus', 3, 'TFT_Item_Deathblade', 'TFT_Item_RunaansHurricane', 'TFT_Item_BFSword']","['TFT7_Illaoi', 3, 'TFT_Item_IonicSpark', 'TFT_Item_Redemption', 'noItems']",,,,,
7,TFT6_Augment_CelestialBlessing1,TFT6_Augment_TinyTitans,TFT7_Augment_AstralIntercosmicGifts,5,"['TFT7_Vladimir', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'TFT_Item_WarmogsArmor', 'noItems', 'noItems']","['TFT7_Nidalee', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Varus', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Morellonomicon', 'TFT_Item_RunaansHurricane']","['TFT7_Illaoi', 3, 'TFT_Item_RedBuff', 'TFT_Item_WarmogsArmor', 'noItems']","['TFT7_AoShin', 1, 'TFT7_Item_MageEmblemItem', 'TFT_Item_JeweledGauntlet', 'TFT_Item_InfinityEdge']",,,,,
8,TFT6_Augment_CelestialBlessing2,TFT6_Augment_PortableForge,TFT6_Augment_ComponentGrabBag,2,"['TFT7_Aatrox', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_UnstableConcoction', 'TFT_Item_Zephyr']","['TFT7_Braum', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Olaf', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_InfinityEdge', 'TFT_Item_GuinsoosRageblade']","['TFT7_Sylas', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Diana', 2, 'TFT_Item_RedBuff', 'TFT_Item_SeraphsEmbrace', 'TFT_Item_FrozenHeart']","['TFT7_Ornn', 2, 'TFT_Item_DragonsClaw', 'TFT4_Item_OrnnAnimaVisage', 'TFT_Item_WarmogsArmor']","['TFT7_Yasuo', 2, 'TFT_Item_InfinityEdge', 'TFT7_Item_AssassinEmblemItem', 'TFT_Item_LastWhisper']",,,
9,TFT7_Augment_Preparation,TFT6_Augment_Diversify2,TFT6_Augment_HighEndShopping,3,"['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT_Item_JeweledGauntlet', 'TFT_Item_ArchangelsStaff', 'TFT_Item_ZekesHerald']","['TFT7_Neeko', 2, 'TFT_Item_Morellonomicon', 'noItems', 'noItems']","['TFT7_DragonGreen', 1, 'TFT_Item_TitansResolve', 'TFT_Item_TitansResolve', 'TFT_Item_LocketOfTheIronSolari']","['TFT7_Zoe', 1, 'TFT_Item_JeweledGauntlet', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_StatikkShiv']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,,
10,TFT6_Augment_RichGetRicher,TFT6_Augment_Weakspot,TFT7_Augment_MysticTrait,3,"['TFT7_Vladimir', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Heimerdinger', 2, 'TFT_Item_Chalice', 'TFT_Item_ZekesHerald', 'noItems']","['TFT7_Nami', 2, 'TFT_Item_JeweledGauntlet', 'TFT_Item_StatikkShiv', 'TFT_Item_UnstableConcoction']","['TFT7_Lillia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_JeweledGauntlet', 'TFT_Item_MadredsBloodrazor']","['TFT7_Sylas', 2, 'TFT_Item_Redemption', 'TFT_Item_GargoyleStoneplate', 'noItems']","['TFT7_Illaoi', 2, 'TFT7_Item_MageEmblemItem', 'noItems', 'noItems']","['TFT7_TrainerDragon', 3, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
11,TFT7_Augment_RagewingTrait,TFT6_Augment_Diversify1,TFT6_Augment_BlueBattery2,6,"['TFT7_Senna', 2, 'noItems', 'noItems', 'noItems']","['TFT7_TahmKench', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Jinx', 2, 'TFT_Item_Quicksilver', 'TFT_Item_InfinityEdge', 'TFT_Item_RabadonsDeathcap']","['TFT7_Shen', 2, 'TFT_Item_ChainVest', 'noItems', 'noItems']","['TFT7_Swain', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 1, 'noItems', 'noItems', 'noItems']",,,,,
12,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_SunfireBoard,TFT6_Augment_ItemGrabBag2,2,"['TFT7_Vladimir', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'TFT_Item_Shroud', 'noItems', 'noItems']","['TFT7_Nidalee', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'TFT_Item_SeraphsEmbrace', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Varus', 3, 'TFT_Item_Morellonomicon', 'TFT_Item_GuinsoosRageblade', 'noItems']","['TFT7_Illaoi', 3, 'TFT_Item_IonicSpark', 'TFT_Item_WarmogsArmor', 'TFT_Item_DragonsClaw']","['TFT7_AurelionSol', 1, 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet', 'TFT_Item_SpearOfShojin']",,,,
13,TFT6_Augment_Featherweights3,TFT6_Augment_CelestialBlessing1,TFT7_Augment_DragonAlliance,6,"['TFT7_Gnar', 3, 'TFT_Item_Zephyr', 'noItems', 'noItems']","['TFT7_Anivia', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Neeko', 1, 'noItems', 'noItems', 'noItems']","['TFT7_DragonGreen', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_TitansResolve', 'noItems']","['TFT7_Zoe', 1, 'TFT_Item_StatikkShiv', 'TFT_Item_RecurveBow', 'TFT_Item_JeweledGauntlet']","['TFT7_AurelionSol', 1, 'TFT_Item_SpearOfShojin', 'TFT_Item_JeweledGauntlet', 'TFT_Item_UnstableConcoction']",,,,,,
14,TFT6_Augment_ThievingRascals,TFT6_Augment_ArcanistTrait,TFT6_Augment_YordleSoSmall,2,"['TFT6_Poppy', 3, 'TFT_Item_WarmogsArmor', 'TFT_Item_DragonsClaw', 'TFT_Item_LastWhisper']","['TFT6_Ziggs', 3, 'TFT_Item_UnstableConcoction', 'TFT_Item_Morellonomicon', 'TFT_Item_StatikkShiv']","['TFT6_Lulu', 3, 'TFT_Item_ChainVest', 'noItems', 'noItems']","['TFT6_Corki', 3, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_InfinityEdge', 'TFT_Item_RedBuff']","['TFT6_Vex', 2, 'TFT_Item_TitanicHydra', 'TFT_Item_GargoyleStoneplate', 'TFT6_Item_BodyguardEmblemItem']","['TFT6_Gnar', 2, 'TFT_Item_ZekesHerald', 'noItems', 'noItems']","['TFT6_Ahri', 2, 'noItems', 'noItems', 'noItems']","['TFT6_Jinx', 1, 'TFT6_Item_ArcanistEmblemItem', 'TFT_Item_FrozenHeart', 'noItems']","['TFT6_Viktor', 1, 'noItems', 'noItems', 'noItems']",,,
15,TFT6_Augment_JeweledLotus,TFT7_Augment_MageTrait,TFT7_Augment_PandorasBench,6,"['TFT7_Vladimir', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'TFT_Item_RabadonsDeathcap', 'TFT_Item_SpearOfShojin', 'TFT_Item_InfinityEdge']","['TFT7_Sylas', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_WarmogsArmor', 'noItems']","['TFT7_Illaoi', 2, 'TFT7_Item_MageEmblemItem', 'noItems', 'noItems']","['TFT7_Bard', 1, 'TFT7_Item_MageEmblemItem', 'noItems', 'noItems']","['TFT7_TrainerDragon', 2, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
16,TFT6_Augment_CyberneticShell1,TFT6_Augment_SecondWind1,TFT6_Augment_CyberneticShell2,1,"['TFT7_Karma', 2, 'TFT7_Item_CavalierEmblemItem', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'TFT_Item_GiantsBelt', 'noItems', 'noItems']","['TFT7_Nunu', 3, 'TFT_Item_WarmogsArmor', 'noItems', 'noItems']","['TFT7_LeeSin', 2, 'TFT_Item_RapidFireCannon', 'noItems', 'noItems']","['TFT7_Volibear', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Quicksilver', 'TFT_Item_Bloodthirster']","['TFT7_Anivia', 3, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_UnstableConcoction', 'TFT_Item_UnstableConcoction']","['TFT7_Hecarim', 1, 'TFT_Item_ThiefsGloves', 'TFT_Item_RunaansHurricane', 'TFT_Item_MadredsBloodrazor']","['TFT7_Ornn', 2, 'TFT_Item_Morellonomicon', 'TFT7_Item_CavalierEmblemItem', 'noItems']",,,,
17,TFT6_Augment_GrandGambler,TFT7_Augment_CannoneerEmblem2,TFT6_Augment_MaxLevel10,7,"['TFT7_Skarner', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_ChainVest', 'noItems']","['TFT7_Senna', 2, 'TFT_Item_Shroud', 'noItems', 'noItems']","['TFT7_Heimerdinger', 2, 'TFT7_Item_CannoneerEmblemItem', 'noItems', 'noItems']","['TFT7_Jinx', 3, 'TFT_Item_RabadonsDeathcap', 'TFT_Item_RunaansHurricane', 'TFT_Item_Chalice']","['TFT7_Tristana', 3, 'TFT_Item_ThiefsGloves', 'TFT_Item_GiantsBelt', 'TFT_Item_GargoyleStoneplate']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 2, 'TFT_Item_GuinsoosRageblade', 'noItems', 'noItems']","['TFT7_TrainerDragon', 3, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,,
