leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
1506f252-3dca-41cf-bb7c-f4014af98841,RANKED_TFT,BRONZE,I,5mA7cjKNiWrfTDWUXDYU4IW8r3KTBbMe2Tg61lzE2mcm0vij,¾Æ±â0·æµÑÂ°,15,13,33,False,False,False,False
07213393-f167-47d2-b71e-eb6489f3d3f0,RANKED_TFT,BRONZE,I,lBX5KN9QPugM2av_xURGZDWuqJ3e01C0u_7QcHX7lWFNIiS5,dlstjdwlf,62,13,17,False,False,False,True
4d47f6a0-1e8f-4b89-afe3-d13388e893b9,RANKED_TFT,BRONZE,I,lTXCx8k3_3Z2hf0X3K9KwrxSBqoAvrf_TNHnMGp18iOMa6bo,½É°îµ¿ ¼½¼ö¸Ó¾À,87,4,4,False,False,False,False
15923363-a57f-42af-9a25-5ada3af6ae55,RANKED_TFT,BRONZE,I,RbMfkQtbtcgupT_uv5J1k1RlJEg3Rvsb0GY51iA_rF_1b9lH,½Ç¼öÇØµµÁÁ°ÔºÁÁà,6,3,4,False,False,False,False
d6d1bcd2-2a7a-4c34-a87a-74c342cd025a,RANKED_TFT,BRONZE,I,_PLmGhuwiszuB0Ul6FaFqKGA9cy_fmbVxHis5JoDcUSZ-60a,alswnslill,61,11,11,False,False,False,False
7933bfee-d9c4-4618-a053-65144b430632,RANKED_TFT,BRONZE,I,AbN5JZgSfi4i4ELCkaj8zq7qpWBRWJyTAPgT3fpbjJKaSMSX,ÀÓ·¯ÇØ,73,10,12,False,False,False,False
5d0e7545-572d-468c-806e-99c19616ecb9,RANKED_TFT,BRONZE,I,_tegaZ-Ae4zXKf2BvyQpeV02Q___j9iF74iCzdZrVfQ9vJ0,°£Â¥Àå°£Â«»Í,94,7,19,False,False,False,False
88e2fdf5-c7e3-4282-81ea-4fe5b591d176,RANKED_TFT,BRONZE,I,4I0jpURr9m69yZc-h4S_GF9SdjSzAHAbX-xwjqool5bdT_Z8,postive rise,43,6,5,False,False,False,False
4db8ad85-c63d-4366-8f0f-695314e3c326,RANKED_TFT,BRONZE,I,WnpieCWowRkWOVEoNWBQaAJMy0h8X7_DU8dGee4o2Bip7gS3,Fun Cexy Cool,70,4,8,False,False,True,False
8383c0f1-930b-41da-b06c-f9d836f28ebf,RANKED_TFT,BRONZE,I,4IV8pesArpEOElKWAtagdf1xiSB2j6TizIAqa03jLSmdHbkH,ÇØ¸¼Àº³Ê±¸¸®¾¾,92,4,5,False,False,False,False
a3b082df-eadd-4e8d-9a4b-ad538d5d5e21,RANKED_TFT,BRONZE,I,mzmXdUra2fWEtdtZP7yewyL7KvoUko-hN5Ey_j74ez7WeEQu,¿À¿°µÈÁ©¸®,64,9,16,False,False,False,False
13eb10b7-6d7c-482a-95ca-a0c75d3389db,RANKED_TFT,BRONZE,I,WpkJjtGGBjVDH6qJZiADZ_-8RUsjS4tPKBu6ycqv-f8UtzBq,ÇÑ½ÂÇö2,66,4,1,False,False,False,False
77f1a186-c6e9-49c1-a16f-c3907b185315,RANKED_TFT,BRONZE,I,j5lxneN4gW1PAfBka3HLi1NmTTMVfy8u13uIbWhHATT3R1Q,°¨ Á¡,18,6,8,False,False,False,False
