leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
e87664f4-0c05-420d-ac42-e97ea1fa5d6e,RANKED_TFT,IRON,I,mtEOB0pdAUIfskPziJTxs_VaoDkEUb17r9fMM5gdI2XU6Zy8,Iluvdogs,32,2,8,False,False,False,False
5d3cf32a-bda9-4a8e-8e93-927c0eaf2361,RANKED_TFT,IRON,I,mWUctV7ZIxeomP_FEOe4p2KJ3Uos-__rCxI8Nu3SyuqcCxnj,시르시르뱅뱅,1,2,3,False,False,False,False
b8443eb3-005b-4758-ac4a-c67b5387618e,RANKED_TFT,IRON,I,AZ6gLom2iw74mVFaXiUiN7iANbMZqbcBcapfYRUjD1-yT6LH,영제뿡,9,3,11,False,False,False,False
755acd6d-cd5a-4329-baf0-93c0bd4fb87f,RANKED_TFT,IRON,I,70ZSe2PAFdXNxQTJjVdulXMBZesX2zAkZiX4enETaAU9Pwg7,동읍특공대,33,1,4,False,False,False,False
b236f026-d8d9-403f-93a5-80dd602c5926,RANKED_TFT,IRON,I,OH-wwwKaPRJxl9M3VcXjfiy4DjL_rBqn-sdGq8DDew17YOM,kimhakmini2,34,1,7,False,False,False,False
c67055c5-37d7-4bb0-b2ce-8c8299f4cc3d,RANKED_TFT,IRON,I,4G-LmAH6YBu9db1Ux_H-Z4AwNe2KAzUiRekUp1m1EE1jAYk,짜암Z,25,2,4,False,False,False,False
aadae20c-b696-46de-adde-66b1c736c7b3,RANKED_TFT,IRON,I,i5cHgiwJyEENiCYyIJ2IFGifSwR3JqtpLCwf1BiujUTEviNv,문만두,30,1,4,False,False,False,False
292eabf6-b941-48fa-ae57-61c4c3937cf7,RANKED_TFT,IRON,I,t8Y4O_TKv25xEVJ0eSkrRVukMZ0rj733v-femj711x7wwRoY,참새바사삭,28,1,5,False,False,False,False
7b597005-cf78-4239-aa67-59c5d07d8359,RANKED_TFT,IRON,I,1vOE7pbttVwXIeAlxNyaZqUIu2fDMbrAbhb-GDFy093wvuuh,볼리베어하는남자,6,1,7,False,False,False,False
9fe992b8-9c84-46ae-8dcb-011fb0e4eefd,RANKED_TFT,IRON,I,0IommVhRFFPXTPYmXVpmwAT73bf0T2banXhlqLUl51a5vGVD,CookieTrial,75,2,3,False,False,False,False
e0d4f737-2494-45ee-ba06-8531baf7c26e,RANKED_TFT,IRON,I,FWl2710U72h71eirW7kI97oaeSY89wPpOUIcf8Yla6Rgz7Jz,심슨보단존슨,15,1,5,False,False,False,False
36023602-1dfd-408e-9078-2c9fb79c752a,RANKED_TFT,IRON,I,LzKBWmuKn_x3sGCyesUfMO4Kev4PZ4Tt5pN6frF4exg0DLn2,사이드플랭크,73,2,4,False,False,False,False
ef597ce0-645e-4a3c-b73b-2f584d0a555e,RANKED_TFT,IRON,I,4c3edZAs17Q-J9dxtVvjMOYr-ZerVOnRg-IAUb9OPrrbugpV,백민성오성년,83,15,36,False,False,False,False
7430ae3f-6214-4b07-8251-67f535c5e570,RANKED_TFT,IRON,I,9qwKWCeFproGuMWuke0WRyt7VYYZkUuygfBLXrWMy_lVVwdZ,파이크의낚시시간,17,2,3,False,False,False,False
18a5d1c6-23e6-4b04-9b32-c7056af57069,RANKED_TFT,IRON,I,SvhH7mfNaAG5GZzfCLDr3R1zcUKf4UKb-tfd9RnGTOJLC-8j,울릉도42,37,1,4,False,False,False,False
47744391-3e71-4680-935c-2c30609a8263,RANKED_TFT,IRON,I,fDsaLa0Ja5FIBzQscSZHetw5kOH5IUY1ISsKGe3w0PGPG3Ho,워니빠,88,3,6,False,False,False,False
35fd51e1-7579-4e8c-a627-72d21b1c814e,RANKED_TFT,IRON,I,wANkkWdJPmQSVln-zEueoN9k92uM5n7cTXa-Fsr5z5rN4nGW,삭제가능계정,42,1,4,False,False,False,False
a4b8cfab-f73c-4415-a70f-16112764873f,RANKED_TFT,IRON,I,F3T3r4oc5F7HjdlR8RGqrM5H6vCiUcNU9Mw3WpgedR76g6PK,Distance attack,60,3,3,False,False,False,False
a6399a27-8aae-443e-a4f2-98d559ae9de0,RANKED_TFT,IRON,I,g2q-O0UUXzwekzo2Eqi1kVD3ABl4wn8e68nJxqqNwGHB8ILR,너랑지금썸타는중,33,4,13,False,False,False,False
b31f01f6-fc79-4fd4-b8e7-3a01790b8009,RANKED_TFT,IRON,I,PZ2aZ_f8kJvOs8KNFqUEaX5P4U0KI9hs9pLwpiPYgY2hQWiK,삐니비니삔,0,2,16,False,False,False,False
cecc4282-de53-49cc-8990-1722329b7547,RANKED_TFT,IRON,I,obdBXnfgmZpP3cWXcRbF4TRzikmRMbRBtfRg8wRbigjkkLA5,윤제곤듀님,33,4,5,False,False,False,False
2c1e6f47-f5fc-4abc-9dc9-e82a11c79561,RANKED_TFT,IRON,I,15NiJXaEWqN2edjg-dCt6VrTknKUkz01uljva_SKvCDb6_po,하덕룡국어학원,0,2,10,False,False,False,False
e7f8e321-f281-4d46-a733-a710b162209e,RANKED_TFT,IRON,I,mguIMKsrdz4gSpDxaCqSEV6tNNhD9b7rmz1-B7CtIur6RqND,bohyeone,20,4,9,False,False,False,False
471ef6a5-29b1-4acb-9c2c-ae82ad5e875b,RANKED_TFT,IRON,I,Nq1Q7TqPA_JTBKHnSN-ujaa4ygpNQFFkjIJ88nt3-E-VGUEF,IlIIllIIllIIlIll,94,3,6,False,False,False,True
074834fc-f576-4288-b982-c55ecc74a5a2,RANKED_TFT,IRON,I,yBjxZW-Bv9lcRFqwUorHrQTkqx9gplj4S5WVlFIRXgku9-2E,백샤오,87,3,2,False,False,False,False
9f1281d8-7dbd-407b-9d6f-5b003009ff15,RANKED_TFT,IRON,I,tnlxJcSIRC3igyOHZ10ZfLf3-tobIGgsf4zmMsGb6-93xv8,노지호구새끼,21,1,5,False,False,False,False
b9e632a2-2935-47fa-996b-a1283c6c71b4,RANKED_TFT,IRON,I,TfhUhmcZyTJ3VhHiZUNsTlkVdIXGLcyJQQwCrT9nKig533A,이누a,21,4,5,False,False,False,False
8e7e5f2a-c996-4e98-8a2a-31af7718ec17,RANKED_TFT,IRON,I,pVct6fQTY8rzogBFNaEpR6CAnyE56LLXyOMgJYsg3Grcb5Jo,개개멍새이,35,1,4,False,False,False,False
cf3e3b7d-d9ca-4c50-adf8-46b3fa054e92,RANKED_TFT,IRON,I,qW1ELtIujfnj-MG1g-iQ4tb-rBOtxP1arLrqFUt-ZPdod-Iq,Heize 장다혜,83,4,6,False,False,False,False
66196436-cdaa-4757-8408-d9fa8d02d8ff,RANKED_TFT,IRON,I,SR72ji2EEx1SaYunP_2JHoefDhsJmAU9XsU09H79Ptd8_Oby,비량윌,82,4,2,False,False,False,True
bbf2a6f4-821c-4230-9e75-919e2837c884,RANKED_TFT,IRON,I,1zZy9f0V8UlQzj_YF4Ts1TTy-4dEO9fvQ9BYQnT8MZ9__s_p,협곡의개인주의자,86,2,3,False,False,False,False
14901f8f-4bfe-4394-a853-52bcdecd842d,RANKED_TFT,IRON,I,KGr1_xF7fIH5TBgoaF8_F7YSjGUrSFx4ioRFbmeOw9W_2N6S,sexy shg,60,1,4,False,False,False,False
3fa059d3-8a3f-4a94-8e6e-1ea40b3b99af,RANKED_TFT,IRON,I,r4bw6itIywfHWCRxp-QEd8L0y6UW_xiHcZlSMeObsSFymAlF,외상 할게요,61,1,5,False,False,False,False
01d2818e-b9a3-49cb-a353-c99e355a7a93,RANKED_TFT,IRON,I,ltCiwuKPhfI-cw_eQ3O_MzCevjMocZzPwDigaiPJKi93KJX-,ANDYco,42,2,6,False,False,False,False
17239d16-1826-4543-8a44-34015e755bd7,RANKED_TFT,IRON,I,fmg02PuBqOu_dOtZpmYbPpssiwtvzIJy-ajDVhPMKx1Bno-c,망한고깃집사장님,88,1,4,False,False,False,False
90d88ee2-bbf9-4165-8ddb-d729325869d6,RANKED_TFT,IRON,I,GBzZdiuYouqBXL9s1iAHVgT32f-M3wgoRQQdzmT614JASDv3,sleepingcub,66,3,7,False,False,False,False
ca13c60b-0bf1-43ab-b6db-3eda6697a711,RANKED_TFT,IRON,I,SXhgw1JKCLXGHilKJxm-W0eOVhSVRoGl7zwAX7uz0M6-_L8F,오혜성기,42,2,3,False,False,False,False
3b6c8513-8006-4e9c-ad4d-d1833a5c2dc4,RANKED_TFT,IRON,I,RMB1Ox184XOtqz5fD3QQz_-eoFcHYJCff0xDYuUGCKWPvGq-,쟤 편,95,3,10,False,False,False,False
d11a073b-5523-4b22-952a-1bd411d605f5,RANKED_TFT,IRON,I,ICvqcVv_trT43fTDhc8yyakRexScbQogFaNOAlPm3bL64qHO,I이준원I,52,2,8,False,False,False,False
84af4e72-c6d5-4f12-a5ea-6bd036891d8f,RANKED_TFT,IRON,I,2L0IQ27Eow9CQXtoSFOr7Z768e42-NZMZ0TBILGXYrQFcqg,RelaX Ignis,47,1,5,False,False,False,False
c3223437-d499-4a41-8d85-eb29774e6aeb,RANKED_TFT,IRON,I,IFQHvNFHbY90twuA0mJU6Zio8ijW0y49TYl372YrDazs4F-Y,칠흑물결블라디,96,2,6,False,False,False,False
aef55087-d604-453e-a32a-e8df27cbf6ae,RANKED_TFT,IRON,I,HUvuR4y7_ryEHqLRqaq7dkgCoaaFmpPm1XJ0tBkQ8ZLOfkJQ,youtube 애쉬TV,77,2,3,False,False,False,False
6d769b3c-ac59-443a-8e91-a8abe6541ae8,RANKED_TFT,IRON,I,-KnhFA5aSeuikcn7HWsZmQFKSFh6igZB_Z5CRVRKJ5oEUaRI,내전적 팀운탓,18,2,9,False,False,False,False
b236f026-d8d9-403f-93a5-80dd602c5926,RANKED_TFT,IRON,I,2GJClfq_QeidIL0UssRwPrsCe1UbNs8tFjLGOZZYIEjwoS82,죽이지마세엽,82,3,12,False,False,False,False
03d07e04-0736-49c1-a540-8446123eef44,RANKED_TFT,IRON,I,AobENlHjYl7OCvlAVz6vlIiuaiKMa8IS2RtmQMsCDhb92XCh,민호랑이다,37,1,5,False,False,False,False
0fdbcde0-3f63-4a1e-afbc-543e7faa2259,RANKED_TFT,IRON,I,YlK-Onii2BiodPohT6wRvAcSiLY0H69su2JHfS20IK4NZVZ8,건달이징,68,3,9,False,False,False,False
fb71d7df-38f7-462f-83c5-7051f8e04a59,RANKED_TFT,IRON,I,GRSsRGmKmPBH0LNF9QHz_GiG_SgMKn5KL2NAZnsydOePNmKH,소행크,40,3,3,False,False,False,False
4ef637e2-154f-4419-8a8c-3c2e08cc1f53,RANKED_TFT,IRON,I,7sVF6GnBdYxUdV59ZtInharJ1NNZ3-ZI56RgtMvrunTbyOTh,그구구,62,3,2,False,False,False,False
51c96f5c-9d60-48d8-8158-7740e0c7547f,RANKED_TFT,IRON,I,Oyf833IhdCQSROsyroL7PR8OgQlDElYVp7lvS4ENxWN0PB-s,skyecyp,54,3,19,False,False,True,False
4feb10d5-9a9d-4a12-a68a-96537426d669,RANKED_TFT,IRON,I,_Z8p5jqqXXejb9ZU3uxAzYIq3ddCZuFhzCgvS_g0_ZBOKL33,찐빵이zzizzi닦개,1,3,4,False,False,False,False
7b9a1f9d-0ff2-4e02-9ecf-cd1870651c49,RANKED_TFT,IRON,I,q7DoEh7SKC_jnDrlCIZIQoO0A2YrfZ2j_pyErt56Mg17k_0,잠지국밥,42,5,25,False,False,False,False
ceb1a72c-4111-4626-9d0b-3245ba89db0e,RANKED_TFT,IRON,I,eUe8xSZXpk9Yas7rVPS8nzDgXcIRkwwdatSb4ReP_p97qm8,불여우령,74,2,3,False,False,False,False
924ed8fd-2cc0-4528-a98d-1accf0ee884a,RANKED_TFT,IRON,I,mamv4wNIPGB3jmVZNu2GelVQT7vBPEPfKhUZ4n5np3d_vjCi,사이즈 조절 가능,49,1,4,False,False,False,False
