leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
554452c9-2c2e-4489-8ef9-2226a36e1a36,RANKED_TFT,SILVER,II,9v517QIFMNC8_tQ3PC4PwHZ5HJZlrZ9aCot4u8wc9hxUgMoR,넘버원12,0,18,23,False,False,False,False
cc22c88c-4a8f-4349-a7d8-536ddfc610a1,RANKED_TFT,SILVER,II,nfg8q7CnES7cg8gA4BnijhnuTe1v8xf4K1lHy_FP8km_6hk-,국밥왕 탐켄치,27,27,28,False,False,False,False
3e667734-0e65-42ce-b133-5c6c5a673525,RANKED_TFT,SILVER,II,wNv1PxW5Z_oBAqW67bjuPH5eVnGTHJB9jVHuZRvhg7M13Fss,BLELEB,97,62,67,False,False,False,True
334fa85f-c105-45e2-816e-045ac4812d17,RANKED_TFT,SILVER,II,zl5OSU4vsLAxIp6KWj-qgLVP-yFkcevWQxGWt3iUucCJx0sF,시계와 방망이,48,14,8,False,False,False,False
760644fc-c3e1-4266-90eb-6329ec38b769,RANKED_TFT,SILVER,II,0iCMcJcqswg8d4UridbW7h5kE_BceCKwocYIicdVRPKo7PBm,녹번파 김태식,71,13,8,False,False,False,False
de372bae-348c-49c1-90ac-4d26c45b7263,RANKED_TFT,SILVER,II,s6t6qrw1DOPI2VfWpOQyxHvdMEESItN3dWTv-WNm9uF2kNUK,아라따나아이뒤,19,14,12,False,False,False,False
77227b28-eb15-447e-8442-2fcaeced8f6e,RANKED_TFT,SILVER,II,_7_dGNXGJpLcmyInSasF_sON7X4T_bKHChQiIT1g7UzX0td-,석기시댕,39,37,35,False,False,False,False
bd79ab74-ce06-4013-b1b6-b17f544f7d16,RANKED_TFT,SILVER,II,lsMrAV06bW2QZXAxpqNUpxu7Dnh_yRA_R1MKAvUDnUvaw-Rs,자1궁써,48,14,16,False,False,False,False
131eee06-1d87-46c6-b157-123d42c16d84,RANKED_TFT,SILVER,II,F-lF8nAVgj8kPwk6nf2rI6Yw7goG69Caib2znGOK9PU2-tyv,gkgk12312,0,25,26,False,False,False,False
a4e7fe52-bc84-49b8-84e5-b6e9be7b84e1,RANKED_TFT,SILVER,II,ess35_W_J9ONYlRuzWN3IiIbqmfF2Vii2WtW-BSP3w0Ogaba,에라이끙끙아,15,55,85,False,False,False,False
a757cb2e-96a5-4ca5-a8fd-ef2e80e9282c,RANKED_TFT,SILVER,II,cnKznY5UUsO4o-OF949ahZSylO22S1f3JXeLwFUn4AjNtfdY,98년생맥그리거,65,10,10,False,False,False,False
bc217919-86ae-4e68-b53e-29d7b82afa47,RANKED_TFT,SILVER,II,XFKgTWTv-Qb_CdnYDNkpTsupMoulMw7jRVifF8OXXr2_TAo,복실꼬리,16,10,11,False,False,False,False
9ebbf8f3-7992-455b-975e-d653babbbb22,RANKED_TFT,SILVER,II,AXpe3NybitlC2mslV-2AoWtNQ8simO2Otyz9_2EfGVmYk1Q,wwawWwWWwWwWWWww,8,20,23,False,False,False,False
0031ac3b-40fa-46ac-8b8d-bd7c07a69a90,RANKED_TFT,SILVER,II,ly-VNz0wVQdxQGawXkhqvxmWdPafk9WhNXfWM5P4utLYX9aI,T1 문도,42,21,25,False,False,False,False
ec4e4d2f-7c91-4782-96a1-196dc6bfa979,RANKED_TFT,SILVER,II,ta2ocMyRjJt8CvsO_601A_HY8VUXMDQP0an9Hpa86zZT5pQh,솔모리장단,75,174,204,False,False,False,False
50a0e2c1-93d3-494a-b255-08b0e9346a83,RANKED_TFT,SILVER,II,QvRVfk-DuPQpZZrntaCK4YmrKyIQMUN8ZFYK489uAurG_VI8,늴리리아니나노오,75,7,5,False,False,False,False
12f221ee-52ad-4f01-8567-4e766a4688c4,RANKED_TFT,SILVER,II,WHo6UZlrRxGd8newBz3gIiWAKO6bORYiZvMURbgh_cIjsTyl,바이든노망남,50,4,4,False,False,False,False
33a7fead-c8e7-45df-bc90-ae6aa69f6ba1,RANKED_TFT,SILVER,II,y3H0hzm32gG397YOdd_b8-htUOnqjcfKvEfwSBgy1c06R-3r,쓔 키,75,21,22,False,False,False,False
d33ec2ab-5ea5-4439-a662-abf83eb2735d,RANKED_TFT,SILVER,II,o2fb6XhDgc81HYkytK5VLpiHTrbGyGoc8hFqsr5z6R1RRQtz,훈제통삼겹존맛탱,29,5,0,False,False,False,True
7683f47e-9c56-4103-87a6-cba98e7fa5cd,RANKED_TFT,SILVER,II,VruTTojeZFStchFKupfonUbabXCjr0lgMPwA5DgLLtZt54k1,정글몹에죽는사람,12,13,15,False,False,False,False
b4a759eb-21ab-43fd-9ae1-55075ab4d85f,RANKED_TFT,SILVER,II,m7T23s62y1tkuEIEppn3FdVlSDsx4KMGTiTIzphnFFUmT1tG,롯데리아소프트콘도둑엄준식,68,7,3,False,False,True,True
8f433fea-128b-4098-abef-713cc7c35c89,RANKED_TFT,SILVER,II,na8JCHobODeFNlkL215puZaqFBdlKZw0ht5y8VJB1b0cQ6le,나르는거북2,48,10,8,False,False,False,False
54453171-e610-4e06-aab3-f43d9ed8ddde,RANKED_TFT,SILVER,II,tEH6rRBMesv4B3KQqJm3Thxxxtlh8LixUPz0w7Aoi7YIfwQ0,Iedahye,15,6,9,False,False,False,False
c3f4a048-ea29-40e8-adf9-8e3353eb8cc3,RANKED_TFT,SILVER,II,FROjnoQ_CibEibqRBIdjvt6yOPx1QIn1twbUwh28oGSRdY4,INZEE,64,8,11,False,False,True,False
beb21c7c-bfca-42dd-a05f-b07b019286e3,RANKED_TFT,SILVER,II,Jx8Y61Zv7F3qqP907eBKlBJ29lAp7Wxzht0-0_8SQIU9Wiw,얼큰한 두루치기,0,15,15,False,False,False,False
bda17552-3c77-4b3f-8aa3-b4295b6d9428,RANKED_TFT,SILVER,II,Yd6dGZ_rc-fUHmyP1VvGdjcj4z5KG0E5B3kWfSSzarNy-R4,유미럭스소라카,29,13,15,False,False,False,False
aef39bfa-c360-496d-89c7-d03af3a6a790,RANKED_TFT,SILVER,II,G-60MGBnR8QEMYorPEI8-ylTaME6IFljUu8jNpELI14diyg,아린비니유아,77,48,49,False,False,False,False
d1daa20e-ceb4-44ee-a7d9-f08acab698b5,RANKED_TFT,SILVER,II,6SDMU7c1hbtvUo-CldOCdQwRueJvlf7mkaii2tA7ahnTcUM,한남서태훈,12,13,8,False,False,False,True
f2646c83-7eac-4242-b3e4-230ca2cccfc9,RANKED_TFT,SILVER,II,kxDXPgVcM5u1VKDuQUbEG480Z1UMl0yeC4FIt9fZpqUnlwhq,깡춤춰깡,36,27,29,False,False,False,False
102cab77-6bcc-464d-8f83-96c898ee868b,RANKED_TFT,SILVER,II,Lg5gmEkHlpJUUwPChJ4sGeNY1-e7WswlXg2q4-9lGekfAsfs,e갱플랭크연습용e,85,23,23,False,False,False,False
08c8ca53-5fe5-43e4-8c73-189cde6fd22e,RANKED_TFT,SILVER,II,zoxuXiTFTuA6FSRMhnIuRik_mtxmAV4_v8Mg9gJdV9zdbM13,Fashion goes RaR,20,26,25,False,False,False,False
9dc173d7-4b2f-435c-904c-06b3c584f011,RANKED_TFT,SILVER,II,nstUYjZG2MP3eTyWhXI9X2ACQDM4lYbQkMLmwhYRZ222SyU,가랏혜수몬,41,12,9,False,False,False,False
701625b8-05d8-45c9-a268-e718e4a8ddc3,RANKED_TFT,SILVER,II,7NJYbg5y6Zt_xAU6a4AIEJ3Dr8Lm49ZBk9Usc-dL72EehjX5,자왕감자,53,42,47,False,False,False,False
087e744e-69d0-41d3-8c6e-56c742909983,RANKED_TFT,SILVER,II,fji0Yc-K-qcm0B_UdvtHr_INLnAhblBW5hICUmyIQdRSrfq1,바르셀늠,39,72,76,False,False,False,True
5a8a4a98-900b-432c-afcc-9d1dc542bd9d,RANKED_TFT,SILVER,II,YgBBp7mZF-T_AQWXFLvmt-hFOnd-n2PTWueBecbR_UxNFNS8,베라31,75,23,29,False,False,False,False
505753a7-55bf-4204-a94c-83a652ee33a7,RANKED_TFT,SILVER,II,XwxrjACHLj4d4QSChN3XL1Y4y2BoesOWraKA3Gdy6tNGtf6S,냅다 던져버리기,93,5,1,False,False,False,True
58b34204-8ec4-4982-9cf1-00672300d0e3,RANKED_TFT,SILVER,II,lfCs74-_uP7aMJR-VSXGnXguzPUqdIKQ5c8EKu_pEJ4NVf77,금쪽이방문서비스,53,10,6,False,False,False,True
81052942-8fa4-432f-adfc-817e73292cc6,RANKED_TFT,SILVER,II,UL4EZmZ5DpXNnLemVsUQNu8RvZnbxDMu2VCUTYR-vGtKzAxt,yotmmf,57,60,56,False,False,False,False
a7dd41a7-62c7-4001-86a4-6e50cb934b7a,RANKED_TFT,SILVER,II,hFbq0JU9hUtoDapwDtelPcOgBh7aIf3cGQt7mqz-odT6DZ30,원할머니보구쌈2,18,27,29,False,False,False,False
06193cff-c79b-4914-b339-6d2e1a5bffb8,RANKED_TFT,SILVER,II,8TtjhFBH93Sb8nMdf0-d6o1vKuZTojPmK1xyfwltzKkX_VY,Lv 16 케일,44,9,9,False,False,False,False
191ed97c-a5fe-4a6e-9ef7-08339b4e61b0,RANKED_TFT,SILVER,II,V6IQ9Wx0jqrMHj7pVrT7ryek1k2M5GeLRuguhkluglQSuZQ,수유리 줌마 전문,32,33,47,False,False,False,False
13e611c6-3a67-4e2d-b1d6-868b32c6ffc8,RANKED_TFT,SILVER,II,l-BhbnGwM3pRJr56CB5_1BIvhzQgdbAsz1Rn1kXVReJFty5M,양찬구,0,8,11,False,False,False,False
a80ce22e-237a-473c-a31e-ac0f8259ba21,RANKED_TFT,SILVER,II,aE1v20Ekc93mYTFHRwH-ZJpZWL_mAjCSt-2sZBHDmAEi-Jgc,똥꾸빵꾸3,17,72,86,False,False,False,False
4e2fedc4-c996-4d8c-a609-4530aa2a93e1,RANKED_TFT,SILVER,II,buDiRh8h3eU_k9RF97w12lfkX8vHkhhpqa-tR-pAegMANGIV,롤체해요,71,6,2,False,False,True,False
27e564ca-e59d-4cd3-9878-9a11b2cd1b95,RANKED_TFT,SILVER,II,-UFaAyZ_HsN-SPuW-m4fkWvOh1gOeFCA-nS2mTH3iuy_nsWD,나만팀운극악,97,13,13,False,False,False,False
ca30edf7-463d-418e-bb7d-b2dbc5fd6aa1,RANKED_TFT,SILVER,II,FB2WemlGU4JAHrN0ihkt1rRVUH1_t8WMozZf6dqrhnLIysrI,cappuccino latte,54,11,8,False,False,False,True
ecd7d9f9-82fe-4ccc-8480-638b6eef5b65,RANKED_TFT,SILVER,II,uVvD6fmkcgdXD4GjVCAcZLqZT92kSvOoWoki_ldOoS8EeDgu,필사남,0,9,12,False,False,False,False
80f219fb-3ee9-49e0-ad9c-11abd22e69da,RANKED_TFT,SILVER,II,4g-aGyj-oKiDxqKJ6vBHqX9N0XmdGhSn9j5okWletnNJ0a6D,영치영치,75,38,38,False,False,False,False
d7d79da8-0b42-492e-953c-cae9e8b16a3e,RANKED_TFT,SILVER,II,hlkZEp_gxHyIjWqjIn4rnO9_zgfAHrj7omkddldD4PN988KG,수호천사김춘자,18,10,9,False,False,False,False
2600d6d2-6701-4357-88cf-cc8e14d78533,RANKED_TFT,SILVER,II,mBBlDJV-BEeowcKfxNYCYDcFNF4OHH-oCa_jQs4caPbhMR4,K가락킹,80,11,10,False,False,False,True
ef3070a0-718a-4fcd-8b60-7b21c4f2fe3c,RANKED_TFT,SILVER,II,O73QvrqlFD6sHCfVn4xvytPeJK1fT3lXoYb71SOpupmFxSuG,이아이디는마스터갈아이디입니다,5,7,4,False,False,False,False
9948d173-b881-4414-980a-226560be33a2,RANKED_TFT,SILVER,II,IMEGnZzukUXshAb0ehKcRIyGI3iS_pvwMwjwmye6yhXI5qI8,SON YO HAN,22,19,24,False,False,False,False
62007135-6df8-46cf-90a9-4f3ca1a071d0,RANKED_TFT,SILVER,II,XBzAo_wrF-6dZQ_xOthD-iDHpRmWzatw_9GqfTjqTdPQF2E,설탕이울면흑설탕,23,5,5,False,False,False,False
4672fb79-e731-491d-a78f-68c9d42045b7,RANKED_TFT,SILVER,II,rfWjbzpYtbR8oOfgInappW0wO70yBeY7WwYCpjQZsJJPJw4,송도레고건물주,27,46,51,False,False,False,False
8d8fcf71-6f67-4d37-ad37-efd48488badd,RANKED_TFT,SILVER,II,dUmwiPvdKFMN34ub_dEGD0RkFjjc-l_9EHxUiesCpUxOtxo,그길을걷다,75,8,6,False,False,False,False
9ea98461-fe84-4c99-8466-c5681f496b99,RANKED_TFT,SILVER,II,DgozSIx3snypiV9jbqkFZa3ep1oUJoQKoR0k8UY_aeWsFlg,어른이보호,63,15,24,False,False,False,False
a6b9863f-32b2-4051-9a42-dbee47198460,RANKED_TFT,SILVER,II,Q4Vd773OTqC0-SZ4htkutUbnJKw8s1Qim8ItdUONOxo0MYQ,씨에라장,5,114,135,False,False,False,True
7a9eff5d-3f01-430f-afbe-21831882b846,RANKED_TFT,SILVER,II,vMZRUi52mhNOEPTOe4EnDJxco4OHxd1WqFB_yU_79uUtnHLB,비뇨기과선생,0,8,5,False,False,True,False
0c5fbfe3-0844-4da9-aba3-d42c52abb35b,RANKED_TFT,SILVER,II,T2A6t0Pow3R2DHFJWsCVk1NolkttvXGdTQnEO8-Al_ZF_70,Hemp,73,36,47,False,False,False,True
fd8ef8da-f3b3-4f08-8ba7-61155e98b4cf,RANKED_TFT,SILVER,II,CCXpR_041lfWoEIMhaRK7thJtq_BJHn3E_IZ2NIcxr7zqEj0,세트너프점,62,10,10,False,False,False,False
b065af2f-f611-4c2d-9356-6fef1482c6e5,RANKED_TFT,SILVER,II,4NWUU9XmTWkRjxyXPpTbBEr-81GT9fwYL2TfqBPrnQ5WGjVG,니 여친 이만희,35,15,22,False,False,False,False
bcedb0f8-6b82-4be0-b88b-0aab568fe778,RANKED_TFT,SILVER,II,9DbeNrniJaUwcwPMrg2HM0CO3m3RlUvV824ajRxbM1fQwkfU,상당한괴물,21,22,19,False,False,False,False
0d7bc20d-29fd-48d1-90c4-c96a2428fb59,RANKED_TFT,SILVER,II,wc0ByjF1D6MIp4AoTyezSw73lAsCPm008NZGklrDgy5gzylk,이상한나라의주아,52,26,26,False,False,False,False
f29ad1e0-1b60-42c2-9968-4e20ed85b04a,RANKED_TFT,SILVER,II,LY1UY2FDUOMhyKoz_v4EXHxfHiruGlKN1tNFq5gIOYAO45X7,촌뜨기농부양붕이,47,7,2,False,False,False,False
d54c6328-986f-4ae3-9c87-dacd1f2dea8c,RANKED_TFT,SILVER,II,cNvdCCWGNargSyOLhhUyouEAq3COgC_XxORXvbRHx31EAm4,눈치가 빨랐다면,70,19,18,False,False,False,False
e6a686a3-ddc0-4488-aba3-a88927af2e1a,RANKED_TFT,SILVER,II,RWmu2zReilS54Vw5C82YscixVaBwMacwlDj_SX2uGqGIY1A6,나는준환,41,9,12,False,False,False,False
c4c99211-9e80-44a4-8eaa-72b4ca94bda5,RANKED_TFT,SILVER,II,Eq93C0xdx2u9tsDWSioRi6L3RxoC_a5uvi5ELqiOAWYBcffy,Ryuuuuuuuu,43,14,13,False,False,False,False
2b751b38-e2b5-4375-bc84-9e7cdb54a8fa,RANKED_TFT,SILVER,II,H-TWYK0XwFQqetnaRaTBCL7bPx0hiCpjVV_TM0WtBW-H6Xgq,눈떠보니뒤짐,7,10,10,False,False,False,False
94243a16-87b7-4044-b4ea-40fc5615e943,RANKED_TFT,SILVER,II,-sWVhl2tMkvtBL1d6-bYSu2g0zZuRFDQuGL9vXsyJTemcpQ,까불어까치가,43,17,15,False,False,False,False
03b194e6-bba2-4dd1-9600-8bcacf67b79f,RANKED_TFT,SILVER,II,POqNA4n1XmjU8SNcpIM1VXWl33Tj7-yltDKGDOoGvXe4eC4,AD JJAP,73,11,9,False,False,True,False
371a07c8-758a-43dc-8b2a-272835051501,RANKED_TFT,SILVER,II,J9hAO7cc9Y_iibMBs5o94ACY25FBRsTNm24BD7WKfXynkLI,SoRaKa MT,0,18,24,False,False,False,False
bcedb0f8-6b82-4be0-b88b-0aab568fe778,RANKED_TFT,SILVER,II,pZX5_Z3onxszPwUDlikAG2SIKj4wdXu9c2lwGL34Y_upEsg,무당바퀴벌레,75,10,10,False,False,False,False
c8615121-43da-4049-b623-09fbf929d835,RANKED_TFT,SILVER,II,65iDHWxvy-T8nWIS0KTxRocLOVA6GP_Y8VN_JNGYSFOClfGx,남자는 스카이,8,20,32,False,False,False,False
8c6c042e-1ec0-4640-aee5-90f8a7b6636d,RANKED_TFT,SILVER,II,QB0MA_K5gRNn6SedaxqkWwYebS__C8IybFSJDZoLOLuSoxx_,자몽0103,27,32,30,False,False,False,False
3f777fd8-f69d-48b4-ba5b-76a9c0a0e417,RANKED_TFT,SILVER,II,9KXeJtA9YYt5-2HZuSN0Brso_fADpHahgqhOmB_EHlz3qt9K,Chicken Breast2,0,10,16,False,False,False,False
b269b904-a68e-4ee5-be0d-59d787c6b769,RANKED_TFT,SILVER,II,jKdnVqb2qLvyFNlfyX1b-9G_yPqeAEiT5L2z4GSvMzNwHHWu,타로버블티모,73,27,38,False,False,False,True
03e52f12-a34b-4f62-882e-398f4e194df2,RANKED_TFT,SILVER,II,u8KPljkH7SQ9EAtzahhPrAawcAf1M-uNaldyTQLVBV8Dw0TZ,0Diana0,34,14,13,False,False,False,False
55176dc5-46fe-4eeb-be1c-8c6eb048bb4e,RANKED_TFT,SILVER,II,yoFHB6Ys4JB9no24po57nn1dXX-ZqGUu7FQ9JivWTS7FwyzU,퀸 노,89,17,11,False,False,False,True
e1324b9f-b291-4b7e-8c64-bc283bbdab34,RANKED_TFT,SILVER,II,W2H5crSVMsuBTMbfm6xejcxxHF1CG6iy4gA69yHxG5ubL_fN,과일가게 청년,60,15,22,False,False,False,False
0fcd6f2b-fef4-411b-ac5b-e998f5d4c1ca,RANKED_TFT,SILVER,II,pZHm-94ZscJfx7CsAEk9c9sX3Uwtz0G7S5YGPFJqxmZaouja,XXB,35,10,8,False,False,False,False
09e44a45-2d75-4b72-a27f-c876d2551137,RANKED_TFT,SILVER,II,k9u6-rX08D8HSsMCCczLr2y3WajtPXHsL9aspuBd1iCAq3tH,루프리잉,75,19,30,False,False,False,False
8fa84f49-01c0-4c97-801d-595fbf80b158,RANKED_TFT,SILVER,II,iLi4HtueVq7s0NP9H4F4GoY5B67S1HD6tvjzzL0ARkmrKypt,나는 토종이다,0,38,40,False,False,False,False
c3a98012-77c8-4ed7-8a2e-198519aee9a6,RANKED_TFT,SILVER,II,2oQPAyqA-Q2FYsXfPuRZut24jwg5nTSN8G3V1k6dXMbuzKR0,니가뭔데욕하냐,77,24,27,False,False,False,False
39b4f7a1-daec-4fe3-a94c-957625e82c1c,RANKED_TFT,SILVER,II,okazo_FN7MOezH1eAMF7cuy1bA72alnByjPC_kkGONqW72Nv,경제학원론,40,10,12,False,False,False,False
a2bf5407-1625-4d9e-907f-236a5e3131ec,RANKED_TFT,SILVER,II,ki91RtoMedoNz5qdCgVjEBR4bf0jUis0Ts3vK_yZ1iVYeQ_V,노상시,33,9,7,False,False,True,False
72b76762-017d-45e2-b5c0-215727cf3408,RANKED_TFT,SILVER,II,LOWWMEnwxYRZUAVxSGkSKYtnyygLLYr4XKorDMMsLrDxZkYi,아일하기싫어,60,20,22,False,False,False,False
3a00301f-a43c-4bdc-bf5b-6b25cce9e3df,RANKED_TFT,SILVER,II,D9Udfk0T8LZr9jc1yjVqCLgip1Fjbk142HWvul2ghcIEko8,전 설 지 존 킹,16,7,5,False,False,False,True
b5582188-cdce-4b29-95cd-5f77edf2def4,RANKED_TFT,SILVER,II,YT8NYynQ5TYU76NjYBCaCzLF-4qn6I_-AEVyAYeSqc2sP9lj,Lib Cap,12,10,14,False,False,True,False
1653e370-bd4f-49d8-91e1-672a9600f635,RANKED_TFT,SILVER,II,x1bNMlc8DSI-K8u5NSqKQmdLLL7phaK94lzZl-pJxhi5GEQg,를정지먹으면쓰는계정,72,18,19,False,False,False,False
b276a583-9400-46b2-ac8a-0e62621730f0,RANKED_TFT,SILVER,II,Xb_Vnqfs44HtyKyoC-J7_6GEU68Ezzi5K2CJ6bGjmXPL-CMZ,왕zanim,0,6,2,False,False,False,False
dda3d702-1f5e-4641-9697-4cbb62c465f6,RANKED_TFT,SILVER,II,V0Oqra3RwecW6Dwfhl-LLaCcBjU6PIHz7ePA28AQswDQnLg,사랑해효준아,28,13,14,False,False,False,False
3a00301f-a43c-4bdc-bf5b-6b25cce9e3df,RANKED_TFT,SILVER,II,X0a8j3gcOgvL1Ojf8io_RTKfSI5wliQGSsUxSm2ejE91SJay,입에침뱉은코그모,1,30,41,False,False,False,False
6ca0f767-f0da-45d7-9648-d49ea7342953,RANKED_TFT,SILVER,II,BvFMTbqAEsmHUrhshQtHGpHOMkMV3dvDteOcZVzvEuZc79IZ,koreaaAAAAN,39,88,94,False,False,False,False
4a81ab42-d846-4667-8c33-238fb99f4cf9,RANKED_TFT,SILVER,II,18XVaZ4sYGvYU1-hzFjHqTiXzVk5g7Wl1Sz2gPBL5RRP5l-1,그만입열어,61,29,33,False,False,False,False
978d06a3-1376-47c9-b637-5e0dcae9ef9e,RANKED_TFT,SILVER,II,i-h-OUeIlr_LZ0kAjU4up82kaTQ7jIctWsmjCfagj7XLEQJI,으르렁크롱,0,19,26,False,False,False,False
