leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2d00fe21-73fd-407a-ab19-dd57db925c64,RANKED_TFT,SILVER,I,gD3TFf42kMPWbGqDiLH513wcmLqfpDaZ0J-hoeaf1lYdvODg,BJ웅따따,0,14,15,False,False,False,False
2a66bab8-4bbe-4d02-805b-e4b5bf60fbc9,RANKED_TFT,SILVER,I,ewJa-BQPWIA1fZkc3eC-SmqrbyWsOUEiNA7dogysJQgrYh8s,오니공주님,0,11,16,False,False,False,False
62ed9df2-4772-4c57-b7d8-3f011fb169af,RANKED_TFT,SILVER,I,sm2iAajMDSGn_jAJdeF6e3Y5KakA2573uYUsZ9TGW0WNd9E2,야생 빡빡이,16,19,19,False,False,False,False
441633ac-3406-4164-aaca-cef793b14919,RANKED_TFT,SILVER,I,MX5fDzR8B2bGgsPZbwNkKeRShgriMSCucDFkkpcRK7o7O6L8,할머니한테도벽으로폐지뜯는김숙자,55,24,26,False,False,False,False
99a4fb93-d546-4488-8b7b-9503b4ea5a01,RANKED_TFT,SILVER,I,KPVOUOOGqkA0QKmE1PXEVGAB1JzeCfYadIf0f0XrZ_zthbQg,이런망겜왜하심,25,16,23,False,False,False,False
e9212663-c2b7-4828-9f5c-b554cbc75708,RANKED_TFT,SILVER,I,1pISxq9bLkytgP-1JKovOm1NO4pkF2RCdVYLln28CAoNIUM4,배예쁜 주현누나,5,15,14,False,False,False,False
6411a1fe-b6fb-4c05-a935-754a3228c7a1,RANKED_TFT,SILVER,I,XmfzIGC-EMrbZ_SeFKZOU2VfbsS-7JW-KAst_bOd4OYeN_s,호나우니,0,15,18,False,False,False,False
8620d4ba-271b-412a-92b7-70acd05679e7,RANKED_TFT,SILVER,I,0VTIL_VEGjd7wwl6wULq6zXiE3r9Uqk-Ns-D4yuqWUKGWYgg,개빡치네엶,83,41,41,False,False,False,True
ba9bf9d2-2492-430a-a528-c87a698a3fc4,RANKED_TFT,SILVER,I,eKXOZRGMhQI_zup032adiofSYSag2aIqses086TgC2ju3KNA,XXXPiS,0,15,21,False,False,False,False
3fdb2dab-1376-4dd6-8f2a-7e60e8fb3beb,RANKED_TFT,SILVER,I,EVAj1cJTxgSAbiU8t8LgXjWfQSG6Uj_BBWMxdzFy6hfMJm_b,혁   깡,35,14,17,False,False,False,True
162c7db6-1e0a-4a69-97ac-d945aeaa396e,RANKED_TFT,SILVER,I,e7JbM3U0cAefumBh4pS5pTOVAgKqn48vLKtLE2XkM2EtjRBB,i벤i,0,38,42,False,False,False,False
f6d0aa70-24f1-419e-a2f8-b3f45ec6b759,RANKED_TFT,SILVER,I,DiSdUZJPwS3Gtkimz5qHN8Whu1RieDZRl7tMvK_DqIprMQsG,강승택,82,8,8,False,False,False,True
c5bf62e8-4293-4feb-9189-a2020ba33f7f,RANKED_TFT,SILVER,I,2FFQQZs_zLHX4JWJDCIHZF0qIY2R_ne-8qblmnBaYiOHdoDb,너의마음속에음파,20,19,9,False,False,False,False
63dbf427-a509-4658-a4ec-3efc9502743d,RANKED_TFT,SILVER,I,ej0CeESUcqv4DbgmQpLrsKrlvAK7FNKFOyCEJtYvtkaFj3Wt,adaad0,17,9,0,False,False,False,True
e1b61350-e26c-4646-b36b-9352757c988a,RANKED_TFT,SILVER,I,Ql1aIHvbP7n5EDnFWlZ41QfqBO8jntSSjpU0s2s2S-tdUw4C,자자자자자자자자크크크크크크크크,34,13,13,False,False,False,False
ed6bb399-efc0-4339-9f24-11ed9e0f4da4,RANKED_TFT,SILVER,I,lGSErjB2kleXUCJaKmGCYiGnvrjnfxOZuY5-3nxg17fVqyA,BISSSS,25,13,15,False,False,False,False
798064a1-1f5b-4d14-939b-531a52067642,RANKED_TFT,SILVER,I,lQanK63B-RCLX-WhVEblOK6L6cqXo5Qn1ZyJxGwsL1UfffQ,원딜 분양 받아요,12,14,7,False,False,False,True
fe3bfc43-0e63-46ca-96d2-1d8a66b837ef,RANKED_TFT,SILVER,I,UkMMYdPoHOZCxwogDmWZgeIgtXLiyqxf2Z0Y3BpKHwAirIOI,justP123,52,8,4,False,False,False,False
2788f7ca-ab24-4b42-b95e-3c5d2be826e1,RANKED_TFT,SILVER,I,Qk9Pj8Yprvcg-DXlwZGiOchtS2ZzgfALjBK0yzb5xDTeQiI,자몽나무,19,28,34,False,False,False,False
aed9e96d-00ca-4bbf-b479-0636c3b95301,RANKED_TFT,SILVER,I,rulCR8btQsJfKdcsQxOsOw0z5hIRLhEPf6EW2-zQv3B24go,53회CNC장려상,0,14,11,False,False,False,False
4e201a43-ec43-46fd-8224-0cc9af717c14,RANKED_TFT,SILVER,I,iurLtryWWpVlTGZLzaFycN_2C6g81p4TEzc1VgYx6mIjgiYa,정 상 수 사 원,1,15,17,False,False,False,False
96aaa73b-723e-4734-a8b9-3ed7512ce6de,RANKED_TFT,SILVER,I,p6S-nTYjbtx0RnlzgLJ0WmR3PXum1R_t3QCAdgH2J1GLZOVV,수파링,87,29,27,False,False,False,False
68300022-d0aa-40e5-ab9a-938f29070d44,RANKED_TFT,SILVER,I,1PNB6se7X06PcwkNeW3r-0tXOTT60oXb5HC8o6Bxy27grDI2,FaxBagen,16,40,47,False,False,False,False
2d00fe21-73fd-407a-ab19-dd57db925c64,RANKED_TFT,SILVER,I,7PpuM2FaedaQPP2C-0uCKZjwMLKSxrONDZYSKKwEibPqaIW0,완전 큰 벌,4,31,34,False,False,False,False
750b4c0f-1848-4104-a760-8965f65500fc,RANKED_TFT,SILVER,I,IL3NzFMMBFDhHz7I6kxhAFSL2sLsG6PTCbrKRyPus8T2Ozc,넌이미엑스반도위,23,13,9,False,False,False,True
faa5131d-252e-4d55-96d4-aa2029dfbb83,RANKED_TFT,SILVER,I,gbAwkajJnt_FN2kvVMJ-OdXhq2ZCeQDlmubRCcUy1UH0SqkI,동기부여 2회,4,8,7,False,False,False,False
a5f05059-2cf4-4357-867e-f3a459bfa705,RANKED_TFT,SILVER,I,FImYJYO9rE8-3JGKx4hr-qFhPkcw92j4lzjRNgRTaZ7hZEgt,마음씨좋은사람,0,9,8,False,False,False,False
1767af91-15bf-4299-8eff-329e8cf26036,RANKED_TFT,SILVER,I,v-JpGszFL0xHHuMgiJVugakJFKyNwbc6jXohGue41aJH0HLY,문자지민,39,11,10,False,False,False,False
49f4d11f-71eb-4604-b1f2-b4c27ccab9b2,RANKED_TFT,SILVER,I,lyWqVV2r1MtraWBVCEiuAH15j9c1ckzQVOxxfDPYuLCNFXlF,leedahyeok,34,13,8,False,False,False,False
badd56cf-0884-4f0c-b940-a02d15153b89,RANKED_TFT,SILVER,I,yczTeWrvfx80VjojXKct8ytXuSq-K6N7P76H7J7Fonw8V8M,장수혁야발럼,5,17,15,False,False,False,False
cd9f90e1-ac6b-4afb-bc59-56e242057b32,RANKED_TFT,SILVER,I,nKha-sJ0l4HXAm1DhJpSWkcFYBJEF_jn90kZ3A7en9we8GkU,곰돌이 푸의 유혹,92,8,7,False,False,False,False
f980c523-00ca-4a1c-b4ce-fddd35ffb473,RANKED_TFT,SILVER,I,AXcSOxqNxY_j6TPBMr3jCnbQQeLwVVtCAqd9kTrVnIHbz8g,tkfkdgpalsl,0,7,1,False,False,False,False
974cda86-dfa0-4d32-ad22-62e319daeb0a,RANKED_TFT,SILVER,I,ExS4-CcvUD-ChVfsPHfOPusMsG3AdBo2X7jDUX8Ur1dkDtI,권일렉,32,17,17,False,False,False,False
11301411-592b-4f67-98f1-c1978974906b,RANKED_TFT,SILVER,I,I0LvON-P0iJAu9V7WiNh1obzH6qoAVetHXe5SvYlPHoV3w9-,최종장,49,12,10,False,False,False,True
62c02cd9-4150-45b3-a79b-b23d05401e3d,RANKED_TFT,SILVER,I,jPuHbciBNaaVYmN-zEm7Kh4FDfgUVK71DsOrrwq6pI_-D_s1,쫄깃쫄깃주용,32,18,22,False,False,False,False
84089fef-9ed7-424a-9c6e-4a97240af2a9,RANKED_TFT,SILVER,I,V5KJ5YN_PlraXZ9IBZTTmqA5O_yWTOBzwhOOSpjiufQkK6NU,엄마쟤바흙먹어,15,14,7,False,False,False,False
6aa9b746-6667-4613-81e2-47e6b9830a66,RANKED_TFT,SILVER,I,1fUPioy_aBar4datrCpbOHI51T3qELwzIWTZgttiEGgkh7A,신찌호,44,24,25,False,False,False,False
4c3d6947-29ac-44c3-beeb-01c5abafa1af,RANKED_TFT,SILVER,I,DaMr__EWm3m9GH5VI1gbG6ETPz2ZDA9nMPMXvEbRRFVFAdc,원소술사애니비아,13,9,9,False,False,False,False
cae05540-13bc-426b-b91a-280803de06f9,RANKED_TFT,SILVER,I,w5fORTui-2KrgBMJ91yBd8oiLr2XUYrCDeuhNdpmeZJ1mZs,제스프리골든키위,10,17,13,False,False,False,True
278c2143-a271-4979-b616-44431e103312,RANKED_TFT,SILVER,I,-Ah15Nmni8tSCz6b8qVRRrVJ--Y01IAGrQp_Mnm1gczh1NDg,A4T3R,52,12,7,False,False,False,False
f3f28671-5d0e-4731-a309-b1ba1540eb00,RANKED_TFT,SILVER,I,uHa7PcdWbb4oUw6L646CgPa75WtqwnokKBy_1cMz0UnDC2VK,pkyyy,0,21,24,False,False,False,False
0e3a5a58-3ad0-4ab5-8347-5ffcd194fd8c,RANKED_TFT,SILVER,I,woF2Y9nh36ZGgsOYHjnQGV2Of678vLElfrZGPsVATAIxUrJb,달 나,14,28,32,False,False,False,False
dc684897-5490-4152-843f-95284e816f63,RANKED_TFT,SILVER,I,AE7yEDZCF0VKVKl-bRVs3EiRWBiJadX40FPMxlUNIr-95bAr,불주먹황금돼지,48,15,9,False,False,False,True
5c344821-d282-49cb-a825-eea24282f376,RANKED_TFT,SILVER,I,eoZ7yyxcsLO_4_9dcojhf5fp9Fjj9woypqsaf6Esldc7cvwM,오몽실,33,43,45,False,False,False,False
c2df6d0d-4c48-4ffd-bb36-c48ca479c067,RANKED_TFT,SILVER,I,hZdW8I3PyaHNUHtgAYL9NAen3Fq39A4uHmfXQn5NoQ8PHfx9,바드 원챔 사나,30,19,19,False,False,False,True
deb4a8fc-61e6-432d-97a8-ded7a1fe1cde,RANKED_TFT,SILVER,I,rbXLf9dkg6iBwF411K4FtK9F2OgX7UnE02hhk_Jra3ktDez1,EQFyauso legend,73,35,40,False,False,False,False
4f3911c9-ddeb-4834-9e4a-7202760cda20,RANKED_TFT,SILVER,I,BzEQTndbhc-RkFc5GG0hsx7pXAdETtBiLDaJ2E07YvdMyBML,불닭맛 하드택,15,15,17,False,False,False,False
b5c29579-b9be-40a4-b5bd-ba29e8349137,RANKED_TFT,SILVER,I,a1GLANAf9TYNrvRS7362MkBlLWfKErqbQyi-FVgCiz35EUAr,대전깡패전태환,52,9,4,False,False,False,False
b0ff2ac0-6675-49af-b74f-efc65e3733e2,RANKED_TFT,SILVER,I,SJgJJlxeosLBq5ILl3wy_1YWseQOeZgLLA70JBSVOM_QgpU,삐뽀사루,94,25,43,False,False,False,True
9fd82d3d-cacf-4e9b-a2c2-d9207a9209c2,RANKED_TFT,SILVER,I,NgR8SraTNQWJSv3UtTbHJW8wnZAiPxRc9oPn8kGzzFVQIPmT,롤체만하는유저,0,8,3,False,False,False,False
cf10b8f3-d428-4519-a089-3b1784481e31,RANKED_TFT,SILVER,I,Ncf_gpgIg5QWlN8mm_CbeE7yPJ8lYfC91E_s9kwG9pzkKoWJ,너의자질을볼래,24,14,12,False,False,False,False
dbe16db9-a30f-493b-a79b-5a722cc1b5ad,RANKED_TFT,SILVER,I,B1ZJM5yPNQWHaeFAQF_PDx5J-irBqJqaYLlp7aw8WIwLMYvJ,암살로죽고암살로산다,90,17,15,False,False,False,False
89120d4c-8ce5-4d34-9766-26d770d73975,RANKED_TFT,SILVER,I,UOHRHApXpKAjR75rAqdcXgTGMSB-8pLS-mPDSDe2Cob4mCo,김리언,46,18,12,False,False,False,False
58b3bfc7-8b7a-4bd6-a467-363837e4f774,RANKED_TFT,SILVER,I,Loic0CTkza_NJ42lciOU31VlHBB0kz24oF5z-pin5KM59Oc,일라오빠,47,12,12,False,False,False,False
a705f573-170f-4e70-88bc-1e3134cdec95,RANKED_TFT,SILVER,I,B8dfB5ltlg1jKvNgjtAbz9F2Hn0FfwyYQug4jFtYPwTXhxED,팀과 거리두기,33,12,7,False,False,False,False
85b1c734-3e38-440f-a4c5-eda16dac5ebd,RANKED_TFT,SILVER,I,Uu_Ykc9KvnRCl9cu-gYdMfWD1Aj36iO7dqeE9sThToc-vQkL,츄르츄르츄르르,24,21,23,False,False,False,False
d7a1f7e4-05e3-4463-adc0-ac23d0c4a12a,RANKED_TFT,SILVER,I,DZU9VzpQQe-X1ltqJ22DnqthUvudAevx4omnoAz-AQphl7e-,양기찬 필라테스,67,9,10,False,False,False,False
8144658b-dd6c-4964-8643-c7a4f6b6eda3,RANKED_TFT,SILVER,I,m9N0ohsJOFeI48vauuU4AHuH3i6FiWI9PdfRWA7f1OgM3_E,모이줘 구구구,46,18,15,False,False,False,False
5114c802-d525-46e0-bb33-efe3e6027ae1,RANKED_TFT,SILVER,I,67IiskyyAuQJmkiwh8DD6wuy8QOGkGOdfBTRpFa_CwjS5M4m,조개장,8,25,32,False,False,False,False
f71a9445-d058-4c06-a204-c1707a1f9f27,RANKED_TFT,SILVER,I,-2Jra5vN0PxcdHC9yd1lUp4bdcZxQsksHNi6mtwDackiFqWO,독서실너무더운데에어컨가능한가요,70,12,9,False,False,False,False
34d1fa00-b97d-46d6-8b32-5fcd69341fc7,RANKED_TFT,SILVER,I,x0EiyijATRY3a37N9BCJW7aibraUx6ItLxIPthUxMxb_9uE,몽키D 쩡우,11,20,16,False,False,False,False
