,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,TFT7_Augment_BandOfThieves1,TFT6_Augment_CelestialBlessing1,TFT6_Augment_PortableForge,2,"['TFT7_Heimerdinger', 2, 'TFT_Item_Shroud', 'noItems', 'noItems']","['TFT7_Thresh', 1, 'TFT_Item_Shroud', 'TFT_Item_RapidFireCannon', 'noItems']","['TFT7_Tristana', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_IonicSpark', 'TFT_Item_IonicSpark']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Deathblade', 'TFT_Item_RunaansHurricane']","['TFT7_Sona', 2, 'TFT_Item_Morellonomicon', 'TFT_Item_TearOfTheGoddess', 'noItems']","['TFT7_DragonGold', 2, 'TFT7_Item_ShimmerscaleMogulsMail', 'TFT4_Item_OrnnInfinityForce', 'TFT_Item_GargoyleStoneplate']","['TFT7_Pyke', 2, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_HextechGunblade', 'TFT_Item_IonicSpark']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
1,TFT6_Augment_LudensEcho1,TFT7_Augment_MageTrait,TFT7_Augment_MageEmblem,1,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_RedBuff', 'TFT_Item_Redemption', 'TFT_Item_GargoyleStoneplate']","['TFT7_Ornn', 2, 'TFT7_Item_JadeEmblemItem', 'noItems', 'noItems']","['TFT7_Zoe', 2, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_StatikkShiv', 'noItems']","['TFT7_Yasuo', 2, 'TFT7_Item_MageEmblemItem', 'TFT_Item_Quicksilver', 'noItems']","['TFT7_Bard', 2, 'TFT7_Item_MageEmblemItem', 'TFT_Item_TearOfTheGoddess', 'noItems']","['TFT7_AoShin', 2, 'TFT_Item_SpearOfShojin', 'TFT_Item_HextechGunblade', 'TFT_Item_ArchangelsStaff']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
2,TFT6_Augment_CelestialBlessing1,TFT6_Augment_Electrocharge1,TFT6_Augment_PortableForge,2,"['TFT7_Aatrox', 2, 'TFT_Item_Redemption', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'TFT4_Item_OrnnRanduinsSanctum', 'TFT_Item_FrozenHeart', 'TFT_Item_LocketOfTheIronSolari']","['TFT7_Qiyana', 2, 'TFT7_Item_ShimmerscaleEmblemItem', 'TFT_Item_IonicSpark', 'TFT_Item_FrozenHeart']","['TFT7_LeeSin', 2, 'TFT_Item_Quicksilver', 'noItems', 'noItems']","['TFT7_Ornn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yasuo', 2, 'TFT_Item_Morellonomicon', 'TFT_Item_TitansResolve', 'noItems']","['TFT7_Bard', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_GuinsoosRageblade', 'TFT7_Item_ShimmerscaleDravensAxe']","['TFT7_AoShin', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_SeraphsEmbrace']",,,
3,TFT6_Augment_TomeOfTraits1,TFT6_Augment_HighEndShopping,TFT7_Augment_BestFriends2,6,"['TFT7_Thresh', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'noItems', 'noItems', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_GuinsoosRageblade', 'TFT7_Item_SwiftshotEmblemItem']","['TFT7_Ornn', 1, 'TFT_Item_TitanicHydra', 'TFT_Item_Shroud', 'noItems']","['TFT7_Pyke', 1, 'TFT_Item_FrozenHeart', 'TFT_Item_SeraphsEmbrace', 'noItems']",,,,
4,TFT7_Augment_AssassinEmblem,TFT6_Augment_ComponentGrabBag,TFT6_Augment_ThrillOfTheHunt2,1,"['TFT7_Gnar', 2, 'TFT_Item_Shroud', 'noItems', 'noItems']","['TFT7_Diana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Talon', 2, 'TFT_Item_InfinityEdge', 'TFT_Item_RunaansHurricane', 'TFT_Item_Bloodthirster']","['TFT7_Neeko', 2, 'TFT_Item_Redemption', 'TFT_Item_RedBuff', 'TFT_Item_IonicSpark']","['TFT7_DragonGreen', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_TitansResolve', 'TFT7_Item_AssassinEmblemItem']","['TFT7_Pyke', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_HextechGunblade', 'TFT_Item_FrozenHeart']","['TFT7_Soraka', 1, 'TFT_Item_NeedlesslyLargeRod', 'noItems', 'noItems']",,,,
5,TFT7_Augment_GuildEmblem,TFT6_Augment_WindfallPlus,TFT6_Augment_SecondWind1,4,"['TFT7_Qiyana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 2, 'TFT_Item_Morellonomicon', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'TFT_Item_StatikkShiv', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT7_Item_GuildEmblemItem', 'noItems', 'noItems']","['TFT7_Talon', 2, 'TFT_Item_GuardianAngel', 'TFT_Item_FrozenHeart', 'noItems']","['TFT7_Xayah', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_Quicksilver']","['TFT7_Ornn', 1, 'TFT_Item_Morellonomicon', 'TFT7_Item_CavalierEmblemItem', 'noItems']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']",,,
6,TFT6_Augment_TinyTitans,TFT6_Augment_GrandGambler,TFT6_Augment_ItemGrabBag2,6,"['TFT7_Thresh', 1, 'TFT_Item_Zephyr', 'noItems', 'noItems']","['TFT7_Qiyana', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_PowerGauntlet', 'TFT_Item_RabadonsDeathcap', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_TitansResolve', 'TFT_Item_RunaansHurricane']","['TFT7_Ornn', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_RunaansHurricane', 'TFT_Item_Shroud']","['TFT7_Pyke', 1, 'TFT_Item_Zephyr', 'TFT_Item_InfinityEdge', 'TFT_Item_RapidFireCannon']",,,,
7,TFT6_Augment_LudensEcho2,TFT6_Augment_CelestialBlessing1,TFT7_Augment_UrfsGrabBag1,3,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'TFT_Item_Shroud', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'TFT7_Item_MageEmblemItem', 'noItems', 'noItems']","['TFT7_Ryze', 3, 'TFT_Item_HextechGunblade', 'TFT_Item_JeweledGauntlet', 'TFT_Item_SpearOfShojin']","['TFT7_Sylas', 2, 'TFT_Item_TitanicHydra', 'TFT_Item_IonicSpark', 'noItems']","['TFT7_Zoe', 1, 'TFT_Item_RabadonsDeathcap', 'TFT_Item_FrozenHeart', 'noItems']","['TFT7_Yasuo', 2, 'TFT_Item_FrozenHeart', 'TFT_Item_NegatronCloak', 'noItems']","['TFT7_Soraka', 1, 'noItems', 'noItems', 'noItems']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",
8,TFT7_Augment_TomeOfTraits2,TFT7_Augment_BandOfThieves1,TFT6_Augment_PortableForge,8,"['TFT7_Leona', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_TearOfTheGoddess', 'TFT_Item_Morellonomicon']","['TFT7_Taric', 2, 'TFT7_Item_EvokerEmblemItem', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'TFT7_Item_EvokerEmblemItem', 'noItems', 'noItems']","['TFT7_Anivia', 1, 'TFT_Item_SpearOfShojin', 'TFT_Item_JeweledGauntlet', 'TFT_Item_Quicksilver']","['TFT7_Neeko', 1, 'noItems', 'noItems', 'noItems']","['TFT7_DragonGreen', 1, 'TFT4_Item_OrnnAnimaVisage', 'TFT_Item_RecurveBow', 'noItems']","['TFT7_Sona', 1, 'noItems', 'noItems', 'noItems']",,,,
9,TFT6_Augment_HyperRoll,TFT6_Augment_ThrillOfTheHunt1,TFT7_Augment_FirstAidKit2,5,"['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Neeko', 1, 'TFT_Item_DragonsClaw', 'TFT_Item_LocketOfTheIronSolari', 'noItems']","['TFT7_DragonGreen', 2, 'TFT_Item_TitansResolve', 'TFT_Item_Bloodthirster', 'TFT_Item_TitansResolve']","['TFT7_Sona', 2, 'TFT_Item_Morellonomicon', 'TFT_Item_JeweledGauntlet', 'TFT_Item_StatikkShiv']","['TFT7_Pyke', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Soraka', 1, 'TFT_Item_RapidFireCannon', 'noItems', 'noItems']",,,,
10,TFT7_Augment_PandorasBench,TFT6_Augment_Meditation1,TFT7_Augment_GuildEmblem2,1,"['TFT7_Sejuani', 2, 'TFT_Item_Chalice', 'TFT_Item_LocketOfTheIronSolari', 'noItems']","['TFT7_Qiyana', 2, 'TFT_Item_FrozenHeart', 'noItems', 'noItems']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT7_Item_GuildEmblemItem', 'TFT_Item_TitanicHydra', 'TFT_Item_WarmogsArmor']","['TFT7_Talon', 2, 'TFT_Item_Deathblade', 'TFT_Item_SeraphsEmbrace', 'TFT_Item_HextechGunblade']","['TFT7_Xayah', 2, 'TFT_Item_InfinityEdge', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_GuinsoosRageblade']","['TFT7_Ornn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Bard', 1, 'TFT_Item_ArchangelsStaff', 'TFT_Item_TearOfTheGoddess', 'noItems']",,
11,TFT6_Augment_CyberneticShell2,TFT6_Augment_Diversify1,TFT7_Augment_DragonHorde,7,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Talon', 1, 'TFT7_Item_ShimmerscaleDravensAxe', 'TFT_Item_Quicksilver', 'TFT_Item_GuinsoosRageblade']","['TFT7_Ornn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_DragonGold', 1, 'TFT_Item_Redemption', 'noItems', 'noItems']","['TFT7_Pyke', 1, 'noItems', 'noItems', 'noItems']",,,,
12,TFT7_Augment_SacrificialPact,TFT6_Augment_Recombobulator,TFT6_Augment_HighEndShopping,7,"['TFT7_LeeSin', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_SpearOfShojin', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_GiantsBelt', 'TFT_Item_Quicksilver', 'noItems']","['TFT7_Ornn', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Zoe', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Bard', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Soraka', 1, 'noItems', 'noItems', 'noItems']",,,,
13,TFT6_Augment_PortableForge,TFT7_Augment_DragonHorde,TFT7_Augment_AxiomArc2,2,"['TFT7_DragonPurple', 2, 'TFT_Item_TitansResolve', 'TFT_Item_Bloodthirster', 'TFT4_Item_OrnnInfinityForce']","['TFT7_Ornn', 2, 'TFT_Item_Quicksilver', 'TFT_Item_ChainVest', 'noItems']","['TFT7_DragonGreen', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_RedBuff', 'TFT_Item_Morellonomicon']","['TFT7_AoShin', 2, 'TFT_Item_SpearOfShojin', 'TFT_Item_RabadonsDeathcap', 'TFT_Item_Zephyr']","['TFT7_Shyvana', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_Redemption', 'TFT_Item_FrozenHeart']",,,,,,
14,TFT6_Augment_SecondWind2,TFT7_Augment_BruiserTitanicStrength,TFT7_Augment_MikaelsGift,1,"['TFT7_Nidalee', 3, 'TFT_Item_Deathblade', 'TFT_Item_Quicksilver', 'TFT_Item_GuinsoosRageblade']","['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Thresh', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Elise', 2, 'TFT_Item_ZekesHerald', 'TFT_Item_TitanicHydra', 'TFT_Item_LocketOfTheIronSolari']","['TFT7_Sylas', 2, 'TFT_Item_WarmogsArmor', 'noItems', 'noItems']","['TFT7_Neeko', 1, 'TFT_Item_LocketOfTheIronSolari', 'TFT_Item_FrozenHeart', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_TitansResolve', 'TFT_Item_UnstableConcoction']","['TFT7_Soraka', 1, 'noItems', 'noItems', 'noItems']",,,
15,TFT7_Augment_WarriorTrait,TFT7_Augment_Preparation,noAugments,8,"['TFT7_Leona', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Thresh', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 1, 'TFT_Item_RapidFireCannon', 'noItems', 'noItems']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Olaf', 1, 'noItems', 'noItems', 'noItems']",,,,,,
16,TFT7_Augment_TomeOfTraits2,TFT6_Augment_TinyTitans,TFT6_Augment_CelestialBlessing2,8,"['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 1, 'TFT_Item_SparringGloves', 'noItems', 'noItems']","['TFT7_Hecarim', 1, 'TFT7_Item_BruiserEmblemItem', 'noItems', 'noItems']","['TFT7_Xayah', 1, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Quicksilver', 'noItems']","['TFT7_Ornn', 2, 'TFT_Item_Redemption', 'TFT7_Item_RagewingEmblemItem', 'noItems']","['TFT7_AoShin', 1, 'TFT_Item_SpearOfShojin', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_JeweledGauntlet']",,,,,
