,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,TFT6_Augment_PortableForge,TFT6_Augment_LudensEcho2,TFT7_Augment_GadgetExpert,1,"['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT4_Item_OrnnRocketPropelledFist', 'TFT_Item_TitansResolve', 'noItems']","['TFT7_Ornn', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_FrozenHeart', 'TFT_Item_TitansResolve']","['TFT7_Zoe', 2, 'TFT_Item_StatikkShiv', 'TFT_Item_Bloodthirster', 'TFT_Item_StatikkShiv']","['TFT7_Bard', 2, 'TFT7_Item_MageEmblemItem', 'noItems', 'noItems']","['TFT7_AoShin', 2, 'TFT_Item_SpearOfShojin', 'TFT_Item_HextechGunblade', 'TFT_Item_ArchangelsStaff']","['TFT7_Pyke', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Soraka', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_RedBuff']",,,,
1,TFT6_Augment_CelestialBlessing1,TFT7_Augment_ShimmerscaleEmblem,TFT7_Augment_PandorasBench,5,"['TFT7_Aatrox', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 1, 'TFT7_Item_ShimmerscaleEmblemItem', 'TFT_Item_FrozenHeart', 'noItems']","['TFT7_Ryze', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'TFT_Item_GuardianAngel', 'TFT_Item_FrozenHeart', 'TFT_Item_LastWhisper']","['TFT7_Corki', 2, 'TFT7_Item_ShimmerscaleDravensAxe', 'TFT_Item_GuinsoosRageblade', 'TFT7_Item_ShimmerscaleGamblersBlade']","['TFT7_DragonGold', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_TitanicHydra', 'noItems']","['TFT7_Zoe', 1, 'TFT_Item_Chalice', 'TFT_Item_ArchangelsStaff', 'TFT7_Item_ShimmerscaleGoldmancersStaff']",,,,,
2,TFT6_Augment_JeweledLotus,TFT6_Augment_BlueBattery2,TFT7_Augment_PandorasBench,3,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Illaoi', 1, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_Anivia', 1, 'TFT_Item_TitansResolve', 'TFT_Item_IonicSpark', 'noItems']","['TFT7_Sona', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yasuo', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_TitanicHydra', 'TFT_Item_TitanicHydra']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']","['TFT7_AurelionSol', 1, 'TFT_Item_ArchangelsStaff', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_HextechGunblade']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
3,TFT6_Augment_SecondWind1,TFT7_Augment_DragonAlliance,TFT6_Augment_CelestialBlessing2,4,"['TFT7_Sejuani', 2, 'TFT7_Item_MirageEmblemItem', 'noItems', 'noItems']","['TFT7_Yone', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'TFT_Item_RedBuff', 'TFT_Item_PowerGauntlet', 'TFT_Item_ZekesHerald']","['TFT7_Hecarim', 3, 'TFT_Item_FrozenHeart', 'noItems', 'noItems']","['TFT7_DragonBlue', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_JeweledGauntlet', 'TFT_Item_GuinsoosRageblade']","['TFT7_Yasuo', 1, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Quicksilver', 'noItems']",,,,,
4,TFT7_Augment_BestFriends2,TFT7_Augment_MageEmblem,TFT7_Augment_DragonHorde,6,"['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_RedBuff', 'TFT_Item_IonicSpark', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_UnstableConcoction', 'TFT_Item_TitansResolve']","['TFT7_DragonGold', 2, 'TFT_Item_BrambleVest', 'TFT7_Item_MageEmblemItem', 'TFT_Item_TitanicHydra']","['TFT7_Zoe', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_ArchangelsStaff', 'TFT7_Item_ShimmerscaleDiamondHands']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']",,,,,,
5,TFT7_Augment_CavalierTrait,TFT6_Augment_Diversify2,TFT7_Augment_CavalierDevastatingCharge,8,"['TFT7_Thresh', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet', 'noItems']","['TFT7_Braum', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Olaf', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Diana', 2, 'TFT_Item_FrozenHeart', 'TFT_Item_IonicSpark', 'noItems']","['TFT7_Hecarim', 1, 'TFT_Item_NegatronCloak', 'noItems', 'noItems']",,,,,
6,TFT6_Augment_Electrocharge1,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_CyberneticShell2,6,"['TFT7_Nami', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_Quicksilver', 'noItems']","['TFT7_Lulu', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 1, 'TFT_Item_RedBuff', 'noItems', 'noItems']","['TFT7_Varus', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Illaoi', 2, 'TFT_Item_RedBuff', 'noItems', 'noItems']","['TFT7_Bard', 1, 'TFT_Item_SpearOfShojin', 'noItems', 'noItems']","['TFT7_AurelionSol', 1, 'TFT7_Item_MageEmblemItem', 'TFT_Item_Bloodthirster', 'TFT_Item_ArchangelsStaff']",,,,,
7,TFT7_Augment_BruiserPersonalTraining,TFT6_Augment_TradeSectorPlus,TFT6_Augment_TomeOfTraits1,3,"['TFT7_Kayn', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Qiyana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Olaf', 2, 'TFT7_Item_AssassinEmblemItem', 'TFT_Item_RunaansHurricane', 'TFT_Item_InfinityEdge']","['TFT7_Sylas', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Diana', 3, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_FrozenHeart', 'TFT_Item_LocketOfTheIronSolari']","['TFT7_Talon', 2, 'TFT_Item_UnstableConcoction', 'TFT_Item_Bloodthirster', 'TFT_Item_GuinsoosRageblade']","['TFT7_Ornn', 2, 'TFT_Item_Zephyr', 'noItems', 'noItems']","['TFT7_Pyke', 1, 'noItems', 'noItems', 'noItems']",,,,
8,TFT6_Augment_MakeshiftArmor1,TFT7_Augment_Preparation,TFT7_Augment_RagewingEmblem2,6,"['TFT7_Sett', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Karma', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'TFT_Item_GuinsoosRageblade', 'TFT7_Item_RagewingEmblemItem', 'TFT_Item_ZekesHerald']","['TFT7_LeeSin', 2, 'TFT_Item_Redemption', 'noItems', 'noItems']","['TFT7_Swain', 3, 'TFT_Item_Quicksilver', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_StatikkShiv']","['TFT7_Volibear', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Neeko', 2, 'TFT_Item_TitansResolve', 'TFT_Item_WarmogsArmor', 'TFT_Item_GargoyleStoneplate']",,,,,
9,TFT6_Augment_Electrocharge1,TFT6_Augment_RadiantRelics,8,"['TFT7_Vladimir', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'TFT_Item_SpearOfShojin', 'TFT5_Item_ArchangelsStaffRadiant', 'TFT_Item_HextechGunblade']","['TFT7_Lillia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Illaoi', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ornn', 1, 'TFT_Item_DragonsClaw', 'noItems', 'noItems']",,,,,,
