,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,TFT6_Augment_TrueTwos,TFT7_Augment_DragonHorde,TFT7_Augment_BigFriend2,1,"['TFT7_DragonPurple', 2, 'TFT_Item_ThiefsGloves', 'noItems', 'noItems']","['TFT7_DragonGold', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_IonicSpark', 'noItems']","['TFT7_Yasuo', 2, 'TFT_Item_Bloodthirster', 'TFT7_Item_ShimmerscaleDiamondHands', 'TFT_Item_SeraphsEmbrace']","['TFT7_AoShin', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_SpearOfShojin', 'TFT_Item_HextechGunblade']","['TFT7_Shyvana', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_Quicksilver', 'TFT_Item_LastWhisper']",,,,,,
1,TFT6_Augment_TrueTwos,TFT6_Augment_HighEndShopping,TFT7_Augment_ShimmerscaleTrait2,8,"['TFT7_Aatrox', 2, 'TFT_Item_PowerGauntlet', 'noItems', 'noItems']","['TFT7_Kayn', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'TFT7_Item_ShimmerscaleGoldmancersStaff', 'noItems', 'noItems']","['TFT7_Corki', 1, 'TFT7_Item_ShimmerscaleDravensAxe', 'TFT_Item_GuinsoosRageblade', 'noItems']","['TFT7_DragonGold', 1, 'TFT_Item_WarmogsArmor', 'TFT7_Item_ShimmerscaleMogulsMail', 'TFT7_Item_ShimmerscaleHeartOfGold']","['TFT7_Yasuo', 1, 'TFT_Item_BFSword', 'TFT_Item_TitansResolve', 'noItems']","['TFT7_Pyke', 1, 'noItems', 'noItems', 'noItems']",,,,
2,TFT6_Augment_TriForce2,TFT6_Augment_MaxLevel10,TFT7_Augment_RagewingTrait,6,"['TFT7_Sett', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Taric', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_JeweledGauntlet', 'noItems']","['TFT7_Hecarim', 1, 'noItems', 'noItems', 'noItems']",,,,
3,TFT6_Augment_Ascension,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_Recombobulator,5,"['TFT7_Leona', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Illaoi', 2, 'TFT_Item_RedBuff', 'noItems', 'noItems']","['TFT7_Anivia', 3, 'TFT_Item_SpearOfShojin', 'TFT_Item_InfinityEdge', 'noItems']","['TFT7_Hecarim', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Talon', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Xayah', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_InfinityEdge', 'TFT_Item_GuinsoosRageblade']","['TFT7_Ornn', 2, 'TFT_Item_RedBuff', 'noItems', 'noItems']",,,,
4,TFT7_Augment_CavalierForAllUnits,TFT6_Augment_Featherweights3,TFT6_Augment_CyberneticImplants2,8,"['TFT7_Ezreal', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'TFT_Item_SparringGloves', 'noItems', 'noItems']","['TFT7_Nunu', 1, 'TFT_Item_WarmogsArmor', 'TFT_Item_RedBuff', 'TFT_Item_GiantsBelt']","['TFT7_Ryze', 2, 'TFT_Item_TearOfTheGoddess', 'noItems', 'noItems']",,,,,
5,TFT7_Augment_BestFriends2,TFT6_Augment_SecondWind2,TFT7_Augment_JadePenitence,6,"['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 3, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_SpearOfShojin', 'TFT_Item_StatikkShiv']","['TFT7_Neeko', 1, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_DragonGreen', 1, 'TFT_Item_TitansResolve', 'TFT_Item_LastWhisper', 'noItems']","['TFT7_Yasuo', 1, 'TFT_Item_FrozenHeart', 'TFT_Item_SeraphsEmbrace', 'noItems']",,,,
6,TFT6_Augment_TradeSector,TFT7_Augment_AstralTrait,TFT6_Augment_ThrillOfTheHunt1,4,"['TFT7_Vladimir', 3, 'TFT_Item_Zephyr', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'TFT_Item_Zephyr', 'TFT_Item_HextechGunblade', 'TFT_Item_MadredsBloodrazor']","['TFT7_Varus', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_LastWhisper', 'TFT_Item_InfinityEdge']","['TFT7_Illaoi', 3, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_BrambleVest', 'TFT_Item_RedBuff']","['TFT7_AurelionSol', 2, 'TFT_Item_SpearOfShojin', 'TFT_Item_JeweledGauntlet', 'TFT_Item_MadredsBloodrazor']",,,,,
7,TFT7_Augment_Bloodlust1,TFT6_Augment_SecondWind1,TFT6_Augment_RadiantRelics,7,"['TFT7_LeeSin', 1, 'TFT7_Item_ShimmerscaleHeartOfGold', 'noItems', 'noItems']","['TFT7_Swain', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'TFT_Item_Quicksilver', 'TFT5_Item_GuinsoosRagebladeRadiant', 'TFT7_Item_ShimmerscaleGoldmancersStaff']","['TFT7_Anivia', 2, 'TFT_Item_JeweledGauntlet', 'TFT_Item_HextechGunblade', 'TFT_Item_BFSword']","['TFT7_Neeko', 1, 'TFT7_Item_ShimmerscaleEmblemItem', 'noItems', 'noItems']","['TFT7_Ornn', 1, 'noItems', 'noItems', 'noItems']","['TFT7_DragonGold', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_DragonsClaw', 'TFT_Item_BrambleVest']",,,,
8,TFT7_Augment_MirageHallucinate,TFT6_Augment_PortableForge,TFT6_Augment_ComponentGrabBag,2,"['TFT7_Leona', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 2, 'TFT_Item_MadredsBloodrazor', 'TFT7_Item_CavalierEmblemItem', 'TFT_Item_FrozenHeart']","['TFT7_Lillia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Braum', 2, 'TFT_Item_RedBuff', 'TFT7_Item_MirageEmblemItem', 'TFT_Item_WarmogsArmor']","['TFT7_Nunu', 2, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_DragonBlue', 2, 'TFT_Item_JeweledGauntlet', 'TFT_Item_GuinsoosRageblade', 'TFT4_Item_OrnnMuramana']","['TFT7_Yasuo', 2, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_WarmogsArmor', 'TFT_Item_GargoyleStoneplate']","['TFT7_Bard', 2, 'TFT_Item_Shroud', 'noItems', 'noItems']",,,
9,TFT6_Augment_BlueBattery2,TFT6_Augment_CelestialBlessing1,TFT6_Augment_SecondWind1,6,"['TFT7_Vladimir', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nidalee', 3, 'TFT_Item_Quicksilver', 'noItems', 'noItems']","['TFT7_Nami', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Varus', 3, 'TFT_Item_RapidFireCannon', 'noItems', 'noItems']","['TFT7_Illaoi', 2, 'TFT_Item_Redemption', 'TFT_Item_RedBuff', 'noItems']","['TFT7_Zoe', 1, 'TFT_Item_ArchangelsStaff', 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet']",,,,
