,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,TFT7_Augment_AstralIntercosmicGifts,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_BlueBattery2,4,"['TFT7_Vladimir', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'TFT_Item_IonicSpark', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_DragonsClaw']","['TFT7_Nidalee', 3, 'TFT_Item_IonicSpark', 'noItems', 'noItems']","['TFT7_Nami', 3, 'TFT_Item_LocketOfTheIronSolari', 'noItems', 'noItems']","['TFT7_Varus', 3, 'TFT_Item_Bloodthirster', 'TFT_Item_PowerGauntlet', 'noItems']","['TFT7_Illaoi', 3, 'TFT_Item_TitanicHydra', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_DragonsClaw']","['TFT7_AurelionSol', 1, 'TFT7_Item_MageEmblemItem', 'TFT_Item_SpearOfShojin', 'TFT_Item_ArchangelsStaff']",,,,
1,TFT6_Augment_CelestialBlessing2,TFT7_Augment_TempestTrait,TFT6_Augment_SunfireBoard,8,"['TFT7_Ezreal', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Qiyana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 1, 'TFT_Item_SpearOfShojin', 'noItems', 'noItems']","['TFT7_LeeSin', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ornn', 2, 'TFT_Item_ChainVest', 'noItems', 'noItems']","['TFT7_DragonGold', 1, 'TFT7_Item_ShimmerscaleMogulsMail', 'TFT_Item_GargoyleStoneplate', 'noItems']","['TFT7_Zoe', 1, 'noItems', 'noItems', 'noItems']",,,,
2,TFT6_Augment_RichGetRicher,TFT6_Augment_CelestialBlessing3,TFT7_Augment_AssassinEmblem,6,"['TFT7_Ezreal', 1, 'TFT7_Item_AssassinEmblemItem', 'noItems', 'noItems']","['TFT7_Qiyana', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'TFT_Item_UnstableConcoction', 'noItems', 'noItems']","['TFT7_Sylas', 1, 'TFT_Item_TitanicHydra', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_ZekesHerald', 'TFT_Item_ZekesHerald']","['TFT7_Ornn', 1, 'TFT_Item_IonicSpark', 'TFT_Item_GuardianAngel', 'TFT_Item_ChainVest']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']","['TFT7_AoShin', 1, 'TFT_Item_ArchangelsStaff', 'TFT_Item_SpearOfShojin', 'TFT_Item_MadredsBloodrazor']",,,
3,TFT6_Augment_CyberneticImplants1,TFT6_Augment_TinyTitans,TFT6_Augment_JeweledLotus,7,"['TFT7_Heimerdinger', 2, 'TFT_Item_ChainVest', 'noItems', 'noItems']","['TFT7_Gnar', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_BFSword', 'TFT_Item_RapidFireCannon']","['TFT7_Tristana', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT_Item_SpearOfShojin', 'TFT_Item_ArchangelsStaff', 'noItems']","['TFT7_DragonGreen', 1, 'TFT_Item_WarmogsArmor', 'TFT_Item_DragonsClaw', 'TFT_Item_TitansResolve']","['TFT7_TrainerDragon', 3, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,,
4,TFT7_Augment_MirageEmblem,TFT7_Augment_CavalierTrait,TFT6_Augment_ThrillOfTheHunt1,1,"['TFT7_Leona', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 2, 'TFT_Item_RapidFireCannon', 'TFT_Item_RapidFireCannon', 'TFT_Item_Bloodthirster']","['TFT7_Braum', 2, 'TFT7_Item_MirageEmblemItem', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_Redemption', 'noItems']","['TFT7_Hecarim', 2, 'noItems', 'noItems', 'noItems']","['TFT7_DragonBlue', 2, 'TFT_Item_GuardianAngel', 'TFT_Item_ArchangelsStaff', 'TFT_Item_SpearOfShojin']","['TFT7_Yasuo', 2, 'TFT_Item_Quicksilver', 'TFT_Item_ZekesHerald', 'noItems']","['TFT7_Soraka', 2, 'noItems', 'noItems', 'noItems']",,,
5,TFT7_Augment_LivingForge,TFT6_Augment_ThrillOfTheHunt1,TFT7_Augment_CavalierDevastatingCharge,2,"['TFT7_Sejuani', 2, 'TFT_Item_NeedlesslyLargeRod', 'noItems', 'noItems']","['TFT7_Nami', 2, 'TFT_Item_Chalice', 'TFT_Item_ArchangelsStaff', 'TFT_Item_ArchangelsStaff']","['TFT7_Lillia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT4_Item_OrnnDeathsDefiance', 'TFT4_Item_OrnnRanduinsSanctum', 'TFT4_Item_OrnnEternalWinter']","['TFT7_DragonBlue', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet']","['TFT7_Bard', 2, 'TFT_Item_ZekesHerald', 'TFT_Item_UnstableConcoction', 'TFT_Item_LocketOfTheIronSolari']",,,
6,TFT6_Augment_RichGetRicher,TFT6_Augment_TargetDummies,TFT6_Augment_JeweledLotus,7,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ornn', 2, 'TFT_Item_TitansResolve', 'TFT_Item_TitanicHydra', 'noItems']","['TFT7_Zoe', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Yasuo', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Bard', 1, 'TFT_Item_Chalice', 'TFT_Item_PowerGauntlet', 'TFT_Item_Quicksilver']","['TFT7_AoShin', 1, 'TFT_Item_SpearOfShojin', 'TFT_Item_ArchangelsStaff', 'TFT_Item_HextechGunblade']","['TFT7_TrainerDragon', 3, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
7,TFT6_Augment_RichGetRicher,TFT6_Augment_TradeSectorPlus,TFT6_Augment_TomeOfTraits1,1,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_LeeSin', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'TFT7_Item_TempestEmblemItem', 'noItems', 'noItems']","['TFT7_Ornn', 2, 'TFT_Item_RedBuff', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_LocketOfTheIronSolari']","['TFT7_Zoe', 1, 'TFT_Item_NeedlesslyLargeRod', 'TFT_Item_Morellonomicon', 'noItems']","['TFT7_Yasuo', 2, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Redemption']","['TFT7_AoShin', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_SpearOfShojin', 'TFT_Item_MadredsBloodrazor']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
8,TFT7_Augment_Preparation2,TFT7_Augment_AstralIntercosmicGifts,TFT6_Augment_RadiantRelics,6,"['TFT7_Nami', 3, 'TFT_Item_SpearOfShojin', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_BrambleVest', 'TFT_Item_DragonsClaw']","['TFT7_Illaoi', 3, 'TFT_Item_BrambleVest', 'noItems', 'noItems']","['TFT7_Ornn', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Shyvana', 1, 'TFT5_Item_GiantSlayerRadiant', 'TFT_Item_HextechGunblade', 'noItems']","['TFT7_Soraka', 1, 'TFT_Item_SpearOfShojin', 'noItems', 'noItems']",,,,
9,TFT7_Augment_JadeTrait,TFT7_Augment_JadePenitence,TFT7_Augment_FirstAidKit2,4,"['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_Morellonomicon', 'TFT_Item_JeweledGauntlet']","['TFT7_Neeko', 2, 'TFT_Item_RedBuff', 'noItems', 'noItems']","['TFT7_DragonGreen', 1, 'TFT_Item_Bloodthirster', 'TFT_Item_TitansResolve', 'TFT_Item_RapidFireCannon']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Soraka', 2, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_GuinsoosRageblade', 'noItems']",,,
