,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,TFT7_Augment_RagewingScorch,TFT6_Augment_Electrocharge1,TFT6_Augment_GrandGambler,1,"['TFT7_Sett', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'TFT7_Item_RagewingEmblemItem', 'TFT_Item_ZekesHerald', 'TFT_Item_PowerGauntlet']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_JeweledGauntlet', 'TFT_Item_UnstableConcoction']","['TFT7_Xayah', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shyvana', 1, 'TFT_Item_WarmogsArmor', 'TFT_Item_WarmogsArmor', 'TFT_Item_JeweledGauntlet']",,,
1,TFT6_Augment_ThrillOfTheHunt1,TFT7_Augment_JadeTrait2,TFT7_Augment_JadeEmblem,2,"['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_Zephyr', 'TFT_Item_StatikkShiv']","['TFT7_Neeko', 2, 'TFT_Item_RedBuff', 'TFT_Item_TitansResolve', 'TFT_Item_PowerGauntlet']","['TFT7_DragonGreen', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_TitansResolve', 'TFT_Item_Bloodthirster']","['TFT7_Yasuo', 2, 'TFT_Item_GuardianAngel', 'TFT7_Item_JadeEmblemItem', 'noItems']","['TFT7_Bard', 2, 'TFT_Item_PowerGauntlet', 'noItems', 'noItems']","['TFT7_Soraka', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet']",,
2,TFT7_Augment_GuildEmblem,TFT7_Augment_CavalierTrait,TFT6_Augment_Diversify2,3,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'TFT_Item_StatikkShiv', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_Redemption', 'TFT7_Item_GuildEmblemItem']","['TFT7_Talon', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Xayah', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_InfinityEdge']","['TFT7_Bard', 1, 'TFT_Item_NeedlesslyLargeRod', 'noItems', 'noItems']","['TFT7_Shyvana', 1, 'TFT_Item_JeweledGauntlet', 'TFT_Item_HextechGunblade', 'TFT_Item_GuinsoosRageblade']",,
3,TFT7_Augment_MageTrait,TFT7_Augment_AxiomArc1,TFT7_Augment_UrfsGrabBag1,8,"['TFT7_Vladimir', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nidalee', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'TFT_Item_SpearOfShojin', 'noItems', 'noItems']","['TFT7_Varus', 2, 'TFT7_Item_MageEmblemItem', 'TFT_Item_RapidFireCannon', 'noItems']","['TFT7_Illaoi', 2, 'noItems', 'noItems', 'noItems']",,,,
4,TFT6_Augment_RichGetRicher,TFT7_Augment_LategameSpecialist,TFT6_Augment_Ascension,2,"['TFT7_Gnar', 2, 'TFT_Item_Zephyr', 'noItems', 'noItems']","['TFT7_Swain', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT_Item_DragonsClaw', 'noItems', 'noItems']","['TFT7_Neeko', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_DragonsClaw', 'TFT_Item_IonicSpark']","['TFT7_Bard', 2, 'TFT7_Item_RagewingEmblemItem', 'TFT_Item_StatikkShiv', 'noItems']","['TFT7_Shyvana', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_ArchangelsStaff']","['TFT7_Pyke', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Soraka', 2, 'noItems', 'noItems', 'noItems']",,
5,TFT6_Augment_SunfireBoard,TFT6_Augment_Weakspot,TFT6_Augment_SecondWind1,6,"['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'TFT_Item_SpearOfShojin', 'TFT_Item_HextechGunblade', 'TFT_Item_ArchangelsStaff']","['TFT7_Sylas', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_Redemption']","['TFT7_Illaoi', 1, 'noItems', 'noItems', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_NeedlesslyLargeRod', 'TFT_Item_LocketOfTheIronSolari', 'noItems']","['TFT7_Zoe', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Soraka', 1, 'TFT_Item_ThiefsGloves', 'TFT_Item_Bloodthirster', 'TFT_Item_DragonsClaw']",,,
6,TFT7_Augment_AxiomArc1,TFT6_Augment_Recombobulator,TFT7_Augment_ShimmerscaleSpending,6,"['TFT7_Aatrox', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'TFT_Item_FrozenHeart', 'TFT_Item_Shroud', 'TFT_Item_InfinityEdge']","['TFT7_Swain', 2, 'TFT_Item_PowerGauntlet', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_GargoyleStoneplate', 'noItems']","['TFT7_Xayah', 2, 'TFT_Item_GuinsoosRageblade', 'TFT7_Item_ShimmerscaleDravensAxe', 'TFT_Item_MadredsBloodrazor']","['TFT7_DragonGold', 2, 'TFT_Item_RedBuff', 'TFT7_Item_ShimmerscaleMogulsMail', 'TFT_Item_WarmogsArmor']","['TFT7_Zoe', 1, 'TFT7_Item_ShimmerscaleGoldmancersStaff', 'TFT7_Item_ShimmerscaleDeterminedInvestor', 'TFT_Item_SeraphsEmbrace']",,,
7,TFT6_Augment_SecondWind1,TFT7_Augment_RagewingTrait,TFT6_Augment_JeweledLotus,8,"['TFT7_Aatrox', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Bloodthirster', 'TFT7_Item_ShimmerscaleDravensAxe']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'noItems', 'noItems', 'noItems']","['TFT7_DragonGold', 1, 'TFT7_Item_ShimmerscaleHeartOfGold', 'TFT_Item_RedBuff', 'TFT_Item_TitansResolve']",,,,,
8,TFT7_Augment_BruiserEmblem,TFT6_Augment_ItemGrabBag1,TFT6_Augment_TargetDummies,7,"['TFT7_Vladimir', 2, 'TFT7_Item_BruiserEmblemItem', 'noItems', 'noItems']","['TFT7_Nami', 3, 'TFT_Item_InfinityEdge', 'TFT_Item_SpearOfShojin', 'noItems']","['TFT7_Ryze', 2, 'TFT_Item_SpearOfShojin', 'TFT_Item_GuinsoosRageblade', 'noItems']","['TFT7_Sylas', 1, 'TFT7_Item_TempestEmblemItem', 'noItems', 'noItems']","['TFT7_Illaoi', 2, 'TFT_Item_RedBuff', 'TFT_Item_GargoyleStoneplate', 'noItems']","['TFT7_Ornn', 1, 'TFT_Item_NegatronCloak', 'noItems', 'noItems']","['TFT7_Zoe', 1, 'TFT_Item_GuardianAngel', 'noItems', 'noItems']","['TFT7_Bard', 1, 'TFT_Item_SpearOfShojin', 'noItems', 'noItems']",,
9,TFT7_Augment_Preparation2,TFT7_Augment_MirageHallucinate,TFT6_Augment_JeweledLotus,6,"['TFT7_Leona', 2, 'TFT_Item_RedBuff', 'TFT_Item_ChainVest', 'noItems']","['TFT7_Taric', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_DragonBlue', 1, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_SpearOfShojin', 'TFT_Item_Quicksilver']","['TFT7_Sona', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yasuo', 2, 'TFT_Item_LastWhisper', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_IonicSpark']",,,
