,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,TFT6_Augment_CelestialBlessing2,TFT6_Augment_ComponentGrabBag,TFT6_Augment_CyberneticUplink2,3,"['TFT7_Jinx', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_StatikkShiv', 'TFT_Item_SpearOfShojin']","['TFT7_Tristana', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_RunaansHurricane', 'TFT_Item_MadredsBloodrazor']","['TFT7_Neeko', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_BrambleVest', 'TFT_Item_DragonsClaw']","['TFT7_Sona', 1, 'TFT_Item_HextechGunblade', 'TFT_Item_JeweledGauntlet', 'noItems']","['TFT7_Yasuo', 1, 'TFT_Item_Spatula', 'TFT_Item_FrozenHeart', 'noItems']","['TFT7_Shyvana', 2, 'TFT_Item_Morellonomicon', 'TFT_Item_JeweledGauntlet', 'TFT_Item_UnstableConcoction']","['TFT7_TrainerDragon', 3, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
1,TFT6_Augment_RichGetRicher,TFT6_Augment_JeweledLotus,TFT7_Augment_CavalierDevastatingCharge,2,"['TFT7_Gnar', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'TFT_Item_Redemption', 'TFT_Item_NeedlesslyLargeRod', 'noItems']","['TFT7_Swain', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT_Item_Zephyr', 'TFT7_Item_DragonmancerEmblemItem', 'noItems']","['TFT7_Neeko', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_RedBuff', 'TFT7_Item_CavalierEmblemItem']","['TFT7_Xayah', 2, 'TFT_Item_StatikkShiv', 'noItems', 'noItems']","['TFT7_Yasuo', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shyvana', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_InfinityEdge', 'TFT_Item_Bloodthirster']",,,,
2,TFT7_Augment_AFK,TFT7_Augment_CavalierEmblem,TFT7_Augment_CavalierDevastatingCharge,7,"['TFT7_Leona', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'TFT_Item_RapidFireCannon', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT7_Item_MirageEmblemItem', 'TFT_Item_TitanicHydra', 'noItems']","['TFT7_DragonBlue', 2, 'TFT_Item_SpearOfShojin', 'TFT_Item_GuinsoosRageblade', 'TFT7_Item_CavalierEmblemItem']","['TFT7_Yasuo', 1, 'TFT7_Item_CavalierEmblemItem', 'TFT_Item_InfinityEdge', 'TFT_Item_SeraphsEmbrace']",,,,,,
3,TFT7_Augment_PandorasBench,TFT7_Augment_CannoneerTrait,TFT6_Augment_CyberneticUplink2,1,"['TFT7_Heimerdinger', 2, 'TFT7_Item_CannoneerEmblemItem', 'noItems', 'noItems']","['TFT7_Thresh', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Jinx', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_JeweledGauntlet', 'noItems']","['TFT7_Tristana', 2, 'TFT_Item_LastWhisper', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'TFT_Item_TearOfTheGoddess', 'TFT_Item_SpearOfShojin', 'noItems']","['TFT7_Corki', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_MadredsBloodrazor', 'TFT7_Item_ShimmerscaleDiamondHands']","['TFT7_Sona', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_RunaansHurricane', 'TFT_Item_TitanicHydra']","['TFT7_DragonGold', 3, 'TFT_Item_RedBuff', 'TFT_Item_DragonsClaw', 'TFT_Item_GargoyleStoneplate']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
4,TFT7_Augment_GuildEmblem2,TFT6_Augment_CelestialBlessing3,TFT7_Augment_CursedCrown,3,"['TFT7_Sejuani', 2, 'TFT_Item_RedBuff', 'TFT_Item_DragonsClaw', 'TFT_Item_WarmogsArmor']","['TFT7_Thresh', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_TitansResolve', 'TFT_Item_DragonsClaw', 'TFT_Item_Redemption']","['TFT7_Talon', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_WarmogsArmor', 'TFT_Item_DragonsClaw']","['TFT7_DragonPurple', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_MadredsBloodrazor', 'TFT7_Item_GuildEmblemItem']","['TFT7_Pyke', 1, 'TFT7_Item_CavalierEmblemItem', 'noItems', 'noItems']","['TFT7_Soraka', 2, 'TFT_Item_UnstableConcoction', 'noItems', 'noItems']",,,
5,TFT7_Augment_GuildEmblem,TFT7_Augment_LategameSpecialist,TFT6_Augment_MakeshiftArmor2,2,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Diana', 3, 'TFT_Item_RedBuff', 'TFT7_Item_GuildEmblemItem', 'TFT_Item_FrozenHeart']","['TFT7_Hecarim', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_Redemption', 'noItems']","['TFT7_Talon', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_InfinityEdge', 'TFT_Item_GuardianAngel']","['TFT7_Neeko', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Yasuo', 1, 'TFT7_Item_AssassinEmblemItem', 'noItems', 'noItems']","['TFT7_Pyke', 2, 'TFT_Item_InfinityEdge', 'TFT_Item_ArchangelsStaff', 'TFT_Item_Morellonomicon']",,,
6,TFT6_Augment_Weakspot,TFT6_Augment_ComponentGrabBag,TFT7_Augment_CavalierEmblem2,8,"['TFT7_Karma', 1, 'TFT_Item_BFSword', 'noItems', 'noItems']","['TFT7_Sejuani', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 1, 'noItems', 'noItems', 'noItems']",,,,,,,
7,TFT6_Augment_BlueBattery2,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_JeweledLotus,5,"['TFT7_Skarner', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Heimerdinger', 2, 'TFT_Item_Zephyr', 'noItems', 'noItems']","['TFT7_Nami', 2, 'TFT_Item_PowerGauntlet', 'TFT_Item_ZekesHerald', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Illaoi', 2, 'TFT_Item_RedBuff', 'TFT_Item_WarmogsArmor', 'TFT_Item_FrozenHeart']","['TFT7_Zoe', 1, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_AurelionSol', 1, 'TFT_Item_InfinityEdge', 'TFT_Item_ArchangelsStaff', 'TFT_Item_HextechGunblade']","['TFT7_TrainerDragon', 2, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,,
8,TFT6_Augment_PortableForge,TFT6_Augment_CelestialBlessing1,TFT6_Augment_HighEndShopping,2,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_SpearOfShojin', 'TFT_Item_RabadonsDeathcap']","['TFT7_Neeko', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_WarmogsArmor', 'TFT_Item_RedBuff']","['TFT7_DragonGreen', 2, 'TFT4_Item_OrnnDeathsDefiance', 'TFT_Item_Bloodthirster', 'TFT_Item_UnstableConcoction']","['TFT7_Zoe', 2, 'TFT_Item_HextechGunblade', 'TFT_Item_StatikkShiv', 'noItems']","['TFT7_Bard', 2, 'TFT_Item_RedBuff', 'noItems', 'noItems']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
9,TFT6_Augment_TrueTwos,TFT7_Augment_AstralTrait,TFT7_Augment_AstralIntercosmicGifts,3,"['TFT7_Vladimir', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'TFT_Item_Redemption', 'TFT_Item_Redemption', 'noItems']","['TFT7_Nami', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_SpearOfShojin', 'TFT_Item_MadredsBloodrazor']","['TFT7_Varus', 3, 'TFT_Item_LastWhisper', 'noItems', 'noItems']","['TFT7_Illaoi', 3, 'TFT_Item_RedBuff', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_Redemption']","['TFT7_Pyke', 1, 'TFT_Item_FrozenHeart', 'noItems', 'noItems']","['TFT7_Soraka', 1, 'TFT_Item_GiantsBelt', 'TFT_Item_SeraphsEmbrace', 'noItems']",,,,
