,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,TFT7_Augment_AxiomArc2,TFT7_Augment_LategameSpecialist,TFT7_Augment_AxiomArc1,6,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 1, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_TearOfTheGoddess', 'TFT_Item_RunaansHurricane']","['TFT7_DragonPurple', 2, 'TFT_Item_Quicksilver', 'TFT_Item_TitansResolve', 'TFT_Item_Bloodthirster']","['TFT7_Sona', 2, 'TFT_Item_Morellonomicon', 'noItems', 'noItems']","['TFT7_TrainerDragon', 2, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
1,TFT7_Augment_RevelPartyTime,TFT7_Augment_CannoneerHotShot,TFT6_Augment_TheGoldenEgg,3,"['TFT7_TahmKench', 2, 'TFT_Item_RedBuff', 'TFT_Item_DragonsClaw', 'TFT_Item_IonicSpark']","['TFT7_Jinx', 2, 'TFT_Item_ZekesHerald', 'TFT_Item_LastWhisper', 'TFT_Item_PowerGauntlet']","['TFT7_Corki', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_InfinityEdge', 'TFT_Item_UnstableConcoction']","['TFT7_DragonPurple', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ornn', 2, 'TFT_Item_RedBuff', 'noItems', 'noItems']","['TFT7_Sona', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_WarmogsArmor', 'TFT_Item_TitanicHydra']","['TFT7_Yasuo', 2, 'TFT_Item_DragonsClaw', 'noItems', 'noItems']","['TFT7_Bard', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Pyke', 1, 'TFT5_Item_ThiefsGlovesRadiant', 'TFT5_Item_MorellonomiconRadiant', 'TFT5_Item_ShroudOfStillnessRadiant']",,
2,TFT6_Augment_ThrillOfTheHunt2,TFT6_Augment_RichGetRicherPlus,TFT6_Augment_JeweledLotus,3,"['TFT7_Gnar', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 2, 'TFT_Item_RecurveBow', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Neeko', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Xayah', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_UnstableConcoction', 'noItems']","['TFT7_Ornn', 2, 'TFT_Item_BrambleVest', 'TFT_Item_TitanicHydra', 'TFT_Item_FrozenHeart']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Shyvana', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_JeweledGauntlet', 'TFT_Item_InfinityEdge']",,,
3,TFT6_Augment_LudensEcho1,TFT6_Augment_PandorasItems,TFT7_Augment_ShapeshifterBeastsDen,7,"['TFT7_Taric', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Elise', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_Quicksilver', 'TFT_Item_GuinsoosRageblade']","['TFT7_Sylas', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Neeko', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_RedBuff', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_TitansResolve', 'TFT_Item_BFSword', 'noItems']",,,,,
4,TFT6_Augment_SunfireBoard,TFT6_Augment_HighEndShopping,TFT6_Augment_TomeOfTraits1,7,"['TFT7_Nami', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_Zephyr', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_BrambleVest']","['TFT7_DragonPurple', 1, 'TFT_Item_Deathblade', 'noItems', 'noItems']","['TFT7_Zoe', 1, 'TFT_Item_Zephyr', 'noItems', 'noItems']","['TFT7_Yasuo', 1, 'TFT7_Item_MageEmblemItem', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_GuinsoosRageblade']",,,,,
5,TFT6_Augment_TradeSector,TFT6_Augment_MakeshiftArmor1,TFT7_Augment_MageEmblem,1,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'TFT_Item_LocketOfTheIronSolari', 'noItems', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_TitansResolve', 'TFT_Item_Redemption']","['TFT7_DragonPurple', 2, 'TFT_Item_InfinityEdge', 'TFT_Item_Bloodthirster', 'TFT_Item_TitansResolve']","['TFT7_Zoe', 2, 'TFT_Item_StatikkShiv', 'noItems', 'noItems']","['TFT7_Bard', 2, 'TFT7_Item_MageEmblemItem', 'noItems', 'noItems']","['TFT7_Soraka', 2, 'noItems', 'noItems', 'noItems']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
6,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_ThrillOfTheHunt1,noAugments,8,"['TFT7_Skarner', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Aatrox', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Leona', 1, 'TFT_Item_GiantsBelt', 'noItems', 'noItems']","['TFT7_LeeSin', 1, 'TFT_Item_SparringGloves', 'noItems', 'noItems']",,,,,,
7,TFT6_Augment_CelestialBlessing2,TFT7_Augment_BestFriends1,TFT6_Augment_Weakspot,2,"['TFT7_Shen', 2, 'TFT7_Item_GuardianEmblemItem', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'TFT7_Item_RagewingEmblemItem', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Neeko', 2, 'TFT_Item_Chalice', 'TFT_Item_GargoyleStoneplate', 'noItems']","['TFT7_Xayah', 2, 'TFT_Item_InfinityEdge', 'TFT_Item_Deathblade', 'TFT_Item_GuinsoosRageblade']","['TFT7_Ornn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shyvana', 2, 'TFT_Item_UnstableConcoction', 'TFT_Item_BrambleVest', 'TFT_Item_Redemption']",,,,
8,TFT6_Augment_SecondWind1,TFT7_Augment_DragonmancerEmblem,TFT7_Augment_DragonmancerInspire,4,"['TFT7_Sett', 2, 'TFT_Item_ZekesHerald', 'noItems', 'noItems']","['TFT7_Karma', 3, 'TFT_Item_Zephyr', 'TFT_Item_ArchangelsStaff', 'noItems']","['TFT7_Ashe', 2, 'noItems', 'noItems', 'noItems']","['TFT7_LeeSin', 2, 'TFT_Item_BrambleVest', 'noItems', 'noItems']","['TFT7_Volibear', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_TitansResolve', 'TFT_Item_Quicksilver']","['TFT7_Anivia', 2, 'TFT7_Item_DragonmancerEmblemItem', 'TFT_Item_ArchangelsStaff', 'TFT_Item_MadredsBloodrazor']","['TFT7_Ornn', 1, 'TFT7_Item_DragonmancerEmblemItem', 'noItems', 'noItems']",,,,
9,TFT6_Augment_JeweledLotus,TFT7_Augment_JadeEmblem,TFT6_Augment_SecondWind2,2,"['TFT7_Karma', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Gnar', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'TFT7_Item_MysticEmblemItem', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'TFT7_Item_JadeEmblemItem', 'noItems', 'noItems']","['TFT7_Anivia', 3, 'TFT_Item_Morellonomicon', 'TFT_Item_NeedlesslyLargeRod', 'TFT_Item_StatikkShiv']","['TFT7_Neeko', 2, 'TFT_Item_Redemption', 'TFT_Item_WarmogsArmor', 'TFT_Item_RedBuff']","['TFT7_DragonGreen', 2, 'TFT_Item_TitansResolve', 'TFT_Item_Bloodthirster', 'TFT_Item_TitansResolve']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']",,,
