,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,TFT7_Augment_CannoneerRicochet,TFT6_Augment_SecondWind2,TFT6_Augment_FuturePeepers,4,"['TFT7_Thresh', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Jinx', 2, 'TFT_Item_Zephyr', 'noItems', 'noItems']","['TFT7_Tristana', 3, 'TFT_Item_LastWhisper', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_RunaansHurricane']","['TFT7_Lulu', 2, 'TFT_Item_TearOfTheGoddess', 'noItems', 'noItems']","['TFT7_Sona', 2, 'TFT_Item_Zephyr', 'noItems', 'noItems']","['TFT7_DragonGold', 2, 'TFT_Item_Redemption', 'TFT_Item_Zephyr', 'TFT_Item_FrozenHeart']","['TFT7_Bard', 1, 'TFT_Item_GuardianAngel', 'TFT7_Item_ShimmerscaleGamblersBlade', 'noItems']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
1,TFT7_Augment_RagewingTantrum,TFT6_Augment_TomeOfTraits1,noAugments,8,"['TFT7_Sett', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Aatrox', 1, 'TFT_Item_WarmogsArmor', 'noItems', 'noItems']","['TFT7_Aatrox', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 1, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_UnstableConcoction', 'TFT7_Item_AssassinEmblemItem']",,,,
2,TFT6_Augment_CyberneticUplink2,TFT6_Augment_ForceOfNature,TFT7_Augment_CannoneerEmblem,7,"['TFT7_Jinx', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'TFT_Item_GuinsoosRageblade', 'TFT7_Item_ShimmerscaleGoldmancersStaff', 'noItems']","['TFT7_Braum', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ornn', 2, 'TFT_Item_Shroud', 'noItems', 'noItems']","['TFT7_DragonGold', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_GargoyleStoneplate', 'noItems']","['TFT7_Yasuo', 1, 'TFT_Item_Bloodthirster', 'TFT7_Item_CannoneerEmblemItem', 'TFT_Item_UnstableConcoction']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']",,,
3,TFT6_Augment_TradeSector,TFT6_Augment_CelestialBlessing1,TFT6_Augment_Meditation2,2,"['TFT7_Heimerdinger', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'TFT_Item_Shroud', 'TFT_Item_InfinityEdge', 'TFT_Item_BrambleVest']","['TFT7_Lulu', 2, 'TFT_Item_Chalice', 'TFT_Item_LocketOfTheIronSolari', 'noItems']","['TFT7_Sylas', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 3, 'TFT_Item_Morellonomicon', 'TFT_Item_SpearOfShojin', 'TFT_Item_ArchangelsStaff']","['TFT7_DragonPurple', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_BrambleVest']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
4,TFT6_Augment_MaxLevel10,TFT6_Augment_SecondWind1,TFT6_Augment_TomeOfTraits1,3,"['TFT7_Nunu', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Xayah', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Zoe', 2, 'TFT_Item_GuinsoosRageblade', 'noItems', 'noItems']","['TFT7_Yasuo', 1, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_Deathblade', 'TFT_Item_UnstableConcoction']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Shyvana', 2, 'TFT_Item_Quicksilver', 'TFT_Item_BrambleVest', 'TFT_Item_RabadonsDeathcap']","['TFT7_Pyke', 1, 'TFT7_Item_RagewingEmblemItem', 'TFT7_Item_DragonmancerEmblemItem', 'noItems']",,,
5,TFT6_Augment_CelestialBlessing3,TFT6_Augment_SecondWind1,TFT7_Augment_CannoneerEmblem2,6,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Jinx', 2, 'TFT_Item_ZekesHerald', 'TFT_Item_LocketOfTheIronSolari', 'noItems']","['TFT7_Tristana', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_LastWhisper', 'TFT_Item_RunaansHurricane']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 1, 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet', 'noItems']","['TFT7_Sona', 1, 'TFT7_Item_CannoneerEmblemItem', 'TFT_Item_Morellonomicon', 'noItems']","['TFT7_DragonGold', 2, 'noItems', 'noItems', 'noItems']","['TFT7_TrainerDragon', 3, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
6,TFT7_Augment_GuildTrait,TFT7_Augment_GuildGearUpgrades,TFT7_Augment_GuildEmblem,7,"['TFT7_Nami', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'TFT_Item_BFSword', 'noItems', 'noItems']","['TFT7_Varus', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Talon', 1, 'TFT_Item_JeweledGauntlet', 'noItems', 'noItems']","['TFT7_Zoe', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Yasuo', 1, 'TFT_Item_BFSword', 'TFT7_Item_GuildEmblemItem', 'TFT_Item_SpearOfShojin']","['TFT7_Bard', 1, 'TFT_Item_BrambleVest', 'noItems', 'noItems']",,,
7,TFT6_Augment_MaxLevel10,TFT6_Augment_Ascension,TFT7_Augment_UrfsGrabBag1,7,"['TFT7_TahmKench', 2, 'TFT_Item_RedBuff', 'TFT_Item_IonicSpark', 'noItems']","['TFT7_Jinx', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Lulu', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_MadredsBloodrazor', 'noItems']","['TFT7_DragonPurple', 2, 'TFT_Item_DragonsClaw', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_WarmogsArmor']","['TFT7_Sona', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']","['TFT7_TrainerDragon', 1, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
8,TFT6_Augment_CelestialBlessing3,TFT6_Augment_ItemGrabBag1,TFT7_Augment_DragonmancerEmblem2,3,"['TFT7_Elise', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Bloodthirster', 'TFT_Item_Quicksilver']","['TFT7_LeeSin', 3, 'TFT_Item_Morellonomicon', 'TFT_Item_LocketOfTheIronSolari', 'noItems']","['TFT7_Neeko', 1, 'TFT_Item_BrambleVest', 'TFT_Item_DragonsClaw', 'TFT_Item_Redemption']","['TFT7_DragonPurple', 1, 'TFT7_Item_DragonmancerEmblemItem', 'TFT_Item_UnstableConcoction', 'TFT_Item_GuinsoosRageblade']","['TFT7_Ornn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yasuo', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']",,,,
9,TFT6_Augment_RichGetRicher,TFT6_Augment_TinyTitans,TFT6_Augment_PortableForge,3,"['TFT7_Gnar', 3, 'TFT_Item_RedBuff', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'TFT_Item_StatikkShiv', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Anivia', 2, 'TFT4_Item_OrnnMuramana', 'TFT_Item_ArchangelsStaff', 'TFT_Item_SpearOfShojin']","['TFT7_Neeko', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_RedBuff', 'TFT_Item_GargoyleStoneplate']","['TFT7_DragonGreen', 2, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_LastWhisper', 'TFT_Item_ZekesHerald']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Soraka', 1, 'noItems', 'noItems', 'noItems']",,,
