,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,TFT7_Augment_Preparation,TFT6_Augment_HighEndShopping,TFT6_Augment_RadiantRelics,8,"['TFT7_Aatrox', 2, 'TFT_Item_SparringGloves', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Talon', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Talon', 1, 'noItems', 'noItems', 'noItems']","['TFT7_DragonGold', 1, 'TFT7_Item_ShimmerscaleHeartOfGold', 'TFT_Item_BrambleVest', 'noItems']",,,,,
1,TFT7_Augment_Preparation2,TFT7_Augment_BruiserTrait,TFT7_Augment_CannoneerRicochet,3,"['TFT7_Heimerdinger', 3, 'noItems', 'noItems', 'noItems']","['TFT7_TahmKench', 2, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_TitansResolve', 'TFT_Item_RedBuff']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'TFT_Item_RapidFireCannon', 'noItems', 'noItems']","['TFT7_Corki', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_StatikkShiv', 'TFT_Item_UnstableConcoction']","['TFT7_Sona', 2, 'noItems', 'noItems', 'noItems']","['TFT7_AurelionSol', 1, 'TFT_Item_TearOfTheGoddess', 'TFT_Item_SpearOfShojin', 'TFT7_Item_MageEmblemItem']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
2,TFT6_Augment_MakeshiftArmor1,TFT6_Augment_SecondWind1,TFT7_Augment_PandorasBench,6,"['TFT7_Sett', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nidalee', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Karma', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Gnar', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Elise', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Neeko', 1, 'TFT_Item_BrambleVest', 'TFT_Item_NegatronCloak', 'noItems']",,,,
3,TFT6_Augment_TradeSector,TFT6_Augment_SecondWind1,TFT6_Augment_TomeOfTraits1,5,"['TFT7_Vladimir', 3, 'TFT7_Item_MysticEmblemItem', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nidalee', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Varus', 3, 'TFT_Item_ThiefsGloves', 'TFT_Item_BFSword', 'TFT_Item_Shroud']","['TFT7_Illaoi', 3, 'TFT_Item_DragonsClaw', 'TFT_Item_Quicksilver', 'noItems']",,,,,
4,TFT6_Augment_CelestialBlessing1,TFT7_Augment_Preparation2HR,TFT6_Augment_HighEndShopping,8,"['TFT7_Sett', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Senna', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 2, 'TFT_Item_Bloodthirster', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 1, 'noItems', 'noItems', 'noItems']",,,,
5,TFT7_Augment_MageEmblem2,TFT7_Augment_UrfsGrabBag2,TFT7_Augment_BruiserEmblem,7,"['TFT7_Vladimir', 2, 'TFT7_Item_BruiserEmblemItem', 'noItems', 'noItems']","['TFT7_Heimerdinger', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Quicksilver', 'noItems']","['TFT7_Lillia', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 1, 'TFT_Item_SpearOfShojin', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_MadredsBloodrazor']","['TFT7_Sylas', 1, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_Illaoi', 2, 'TFT7_Item_MageEmblemItem', 'noItems', 'noItems']",,,,
6,TFT6_Augment_JeweledLotus,TFT6_Augment_CelestialBlessing1,TFT7_Augment_UrfsGrabBag1,8,"['TFT7_Kayn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Qiyana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 1, 'TFT7_Item_AssassinEmblemItem', 'noItems', 'noItems']","['TFT7_Talon', 1, 'TFT_Item_BFSword', 'noItems', 'noItems']","['TFT7_DragonPurple', 1, 'TFT7_Item_AssassinEmblemItem', 'noItems', 'noItems']","['TFT7_Ornn', 1, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']",,,,,
7,TFT6_Augment_ItemGrabBag1,TFT6_Augment_CelestialBlessing1,TFT7_Augment_CavalierEmblem,4,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 3, 'TFT_Item_Chalice', 'TFT_Item_TitansResolve', 'TFT_Item_FrozenHeart']","['TFT7_Braum', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Twitch', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 3, 'TFT_Item_LocketOfTheIronSolari', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'TFT_Item_Deathblade', 'noItems', 'noItems']","['TFT7_Sylas', 3, 'TFT7_Item_CavalierEmblemItem', 'TFT_Item_WarmogsArmor', 'TFT_Item_Quicksilver']","['TFT7_Xayah', 1, 'noItems', 'noItems', 'noItems']",,,
8,TFT6_Augment_JeweledLotus,TFT7_Augment_TempestTrait,TFT6_Augment_ItemGrabBag1,6,"['TFT7_Ezreal', 2, 'TFT_Item_ArchangelsStaff', 'TFT_Item_MadredsBloodrazor', 'noItems']","['TFT7_Qiyana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Qiyana', 2, 'TFT_Item_GuardianAngel', 'noItems', 'noItems']","['TFT7_Twitch', 2, 'noItems', 'noItems', 'noItems']","['TFT7_LeeSin', 2, 'TFT_Item_WarmogsArmor', 'TFT_Item_RecurveBow', 'noItems']",,,,,,
9,TFT6_Augment_SalvageBin,TFT6_Augment_Weakspot,TFT6_Augment_TomeOfTraits1,6,"['TFT7_Sett', 2, 'TFT7_Item_ShimmerscaleEmblemItem', 'noItems', 'noItems']","['TFT7_Aatrox', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'TFT7_Item_ShimmerscaleHeartOfGold', 'TFT7_Item_ShimmerscaleDiamondHands', 'noItems']","['TFT7_Swain', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_ArchangelsStaff', 'TFT7_Item_ShimmerscaleGamblersBlade']","['TFT7_Volibear', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'noItems', 'noItems', 'noItems']","['TFT7_DragonGold', 2, 'TFT_Item_BrambleVest', 'TFT_Item_DragonsClaw', 'TFT7_Item_ShimmerscaleMogulsMail']",,,,
10,TFT7_Augment_GuardianHeroicPresence,TFT6_Augment_WindfallPlus,TFT6_Augment_SalvageBin,4,"['TFT7_Leona', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Taric', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Thresh', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Bloodthirster', 'TFT_Item_JeweledGauntlet']","['TFT7_Braum', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'TFT_Item_JeweledGauntlet', 'TFT_Item_WarmogsArmor', 'TFT_Item_FrozenHeart']","['TFT7_Sylas', 3, 'TFT_Item_DragonsClaw', 'TFT_Item_WarmogsArmor', 'TFT_Item_TitanicHydra']",,,,
11,TFT6_Augment_SecondWind1,TFT6_Augment_Meditation2,TFT6_Augment_SecondWind2,1,"['TFT7_Sett', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT_Item_BrambleVest', 'TFT_Item_DragonsClaw', 'TFT_Item_RedBuff']","['TFT7_Xayah', 2, 'TFT_Item_Deathblade', 'TFT_Item_GuardianAngel', 'TFT_Item_GuinsoosRageblade']","['TFT7_Yasuo', 1, 'TFT_Item_UnstableConcoction', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_GuardianAngel']","['TFT7_Shyvana', 2, 'TFT_Item_Shroud', 'noItems', 'noItems']",,,
12,TFT7_Augment_CannoneerHotShot,TFT6_Augment_TargetDummies,TFT6_Augment_SecondWind2,1,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'TFT_Item_LastWhisper', 'noItems', 'noItems']","['TFT7_Lulu', 3, 'TFT_Item_Chalice', 'TFT_Item_PowerGauntlet', 'noItems']","['TFT7_Sylas', 2, 'TFT_Item_Redemption', 'noItems', 'noItems']","['TFT7_Corki', 2, 'TFT_Item_UnstableConcoction', 'TFT_Item_LastWhisper', 'noItems']","['TFT7_Ornn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Sona', 2, 'TFT7_Item_MageEmblemItem', 'TFT_Item_Morellonomicon', 'TFT_Item_JeweledGauntlet']","['TFT7_Bard', 2, 'noItems', 'noItems', 'noItems']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
13,TFT6_Augment_CyberneticShell2,TFT7_Augment_UrfsGrabBag2,TFT6_Augment_JeweledLotus,8,"['TFT7_Vladimir', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nidalee', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 3, 'TFT_Item_StatikkShiv', 'noItems', 'noItems']","['TFT7_Varus', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Illaoi', 2, 'TFT_Item_DragonsClaw', 'TFT_Item_BrambleVest', 'TFT7_Item_MageEmblemItem']",,,,,
14,TFT6_Augment_TradeSector,TFT7_Augment_ShimmerscaleTrait2,TFT6_Augment_Ascension,7,"['TFT7_Aatrox', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'TFT7_Item_ShimmerscaleHeartOfGold', 'noItems', 'noItems']","['TFT7_Twitch', 1, 'TFT_Item_GiantsBelt', 'noItems', 'noItems']","['TFT7_LeeSin', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Swain', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'TFT_Item_Quicksilver', 'TFT_Item_NegatronCloak', 'TFT_Item_TitansResolve']",,,,,
15,TFT7_Augment_UrfsGrabBag1,TFT7_Augment_Preparation2,TFT7_Augment_DragonmancerEmblem,4,"['TFT7_Sett', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Karma', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'TFT7_Item_RagewingEmblemItem', 'noItems', 'noItems']","['TFT7_LeeSin', 2, 'TFT_Item_FrozenHeart', 'TFT_Item_IonicSpark', 'noItems']","['TFT7_Swain', 2, 'TFT7_Item_JadeEmblemItem', 'TFT_Item_RabadonsDeathcap', 'noItems']","['TFT7_Volibear', 2, 'TFT_Item_Redemption', 'TFT_Item_IonicSpark', 'TFT_Item_DragonsClaw']","['TFT7_DragonBlue', 2, 'TFT7_Item_DragonmancerEmblemItem', 'TFT_Item_HextechGunblade', 'TFT_Item_JeweledGauntlet']",,,,
16,TFT6_Augment_CelestialBlessing1,TFT7_Augment_RagewingScorch,TFT6_Augment_TheGoldenEgg,5,"['TFT7_Sett', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_BrambleVest', 'TFT_Item_TitansResolve']","['TFT7_Karma', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Senna', 2, 'TFT_Item_SeraphsEmbrace', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'TFT_Item_Bloodthirster', 'noItems', 'noItems']","['TFT7_Ashe', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 2, 'TFT_Item_TitansResolve', 'TFT_Item_Redemption', 'noItems']","['TFT7_Swain', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Xayah', 2, 'noItems', 'noItems', 'noItems']",,,
17,TFT6_Augment_TomeOfTraits1,TFT6_Augment_SunfireBoard,TFT6_Augment_ComponentGrabBag,4,"['TFT7_Vladimir', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Heimerdinger', 3, 'TFT_Item_TitanicHydra', 'noItems', 'noItems']","['TFT7_LeeSin', 1, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_RunaansHurricane']","['TFT7_Lulu', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 2, 'TFT7_Item_EvokerEmblemItem', 'TFT_Item_JeweledGauntlet', 'TFT_Item_SeraphsEmbrace']","['TFT7_Sylas', 2, 'TFT_Item_Morellonomicon', 'noItems', 'noItems']","['TFT7_Ornn', 1, 'TFT_Item_BrambleVest', 'noItems', 'noItems']","['TFT7_Zoe', 1, 'TFT_Item_SpearOfShojin', 'TFT_Item_JeweledGauntlet', 'TFT_Item_SeraphsEmbrace']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,
18,TFT7_Augment_CannoneerRicochet,TFT6_Augment_MaxLevel10,TFT7_Augment_CannoneerHotShot,1,"['TFT7_Senna', 2, 'noItems', 'noItems', 'noItems']","['TFT7_TahmKench', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Jinx', 2, 'TFT_Item_ZekesHerald', 'noItems', 'noItems']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 3, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Deathblade', 'TFT_Item_RunaansHurricane']","['TFT7_Illaoi', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Hecarim', 2, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_Corki', 2, 'TFT_Item_InfinityEdge', 'TFT_Item_SpearOfShojin', 'TFT_Item_JeweledGauntlet']","['TFT7_Ornn', 2, 'TFT_Item_NegatronCloak', 'TFT_Item_RedBuff', 'noItems']","['TFT7_Sona', 2, 'TFT_Item_Morellonomicon', 'TFT_Item_ArchangelsStaff', 'noItems']",
