,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,TFT7_Augment_UrfsGrabBag1,TFT6_Augment_TradeSectorPlus,TFT7_Augment_AssassinEmblem,4,"['TFT7_Lillia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Braum', 2, 'TFT_Item_BrambleVest', 'TFT_Item_WarmogsArmor', 'noItems']","['TFT7_Olaf', 3, 'TFT7_Item_AssassinEmblemItem', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Quicksilver']","['TFT7_Sylas', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Diana', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Talon', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ornn', 1, 'TFT_Item_Morellonomicon', 'noItems', 'noItems']","['TFT7_Pyke', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Pyke', 1, 'TFT_Item_SeraphsEmbrace', 'TFT_Item_MadredsBloodrazor', 'noItems']",
1,TFT6_Augment_BlueBattery2,TFT7_Augment_BandOfThieves1,TFT6_Augment_CyberneticShell2,7,"['TFT7_Lillia', 2, 'TFT_Item_InfinityEdge', 'TFT_Item_JeweledGauntlet', 'TFT_Item_MadredsBloodrazor']","['TFT7_Braum', 3, 'TFT_Item_BrambleVest', 'TFT_Item_Chalice', 'noItems']","['TFT7_Olaf', 2, 'TFT_Item_Bloodthirster', 'TFT_Item_RapidFireCannon', 'noItems']","['TFT7_Ryze', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_GiantsBelt', 'TFT_Item_RedBuff']","['TFT7_Sylas', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Diana', 2, 'noItems', 'noItems', 'noItems']",,,,,
2,TFT7_Augment_MirageEmblem,TFT7_Augment_UrfsGrabBag1,TFT6_Augment_Ascension,2,"['TFT7_Sejuani', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Lillia', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nunu', 3, 'TFT_Item_BrambleVest', 'TFT_Item_IonicSpark', 'TFT_Item_WarmogsArmor']","['TFT7_Hecarim', 2, 'TFT_Item_FrozenHeart', 'TFT7_Item_MirageEmblemItem', 'noItems']","['TFT7_DragonBlue', 2, 'TFT_Item_SpearOfShojin', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_HextechGunblade']","['TFT7_Yasuo', 2, 'TFT_Item_Bloodthirster', 'noItems', 'noItems']","['TFT7_Bard', 2, 'TFT7_Item_MirageEmblemItem', 'TFT_Item_MadredsBloodrazor', 'TFT_Item_ZekesHerald']",,,
3,TFT7_Augment_EvokerEmblem,TFT7_Augment_AxiomArc1,TFT7_Augment_CannoneerHotShot,6,"['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Tristana', 2, 'TFT_Item_TitansResolve', 'noItems', 'noItems']","['TFT7_Lulu', 2, 'TFT_Item_ZekesHerald', 'TFT_Item_Chalice', 'noItems']","['TFT7_Anivia', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Corki', 2, 'TFT7_Item_EvokerEmblemItem', 'TFT_Item_Quicksilver', 'TFT_Item_HextechGunblade']","['TFT7_Sona', 1, 'TFT_Item_SpearOfShojin', 'TFT7_Item_ShimmerscaleGoldmancersStaff', 'noItems']","['TFT7_DragonGold', 2, 'TFT_Item_ThiefsGloves', 'TFT_Item_Morellonomicon', 'TFT_Item_TitanicHydra']","['TFT7_TrainerDragon', 4, 'TFT7_Item_TrainerSnax', 'noItems', 'noItems']",,,
4,TFT7_Augment_MageConference,noAugments,noAugments,8,"['TFT7_Vladimir', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Heimerdinger', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Nami', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Ryze', 1, 'TFT_Item_MadredsBloodrazor', 'noItems', 'noItems']","['TFT7_Illaoi', 1, 'noItems', 'noItems', 'noItems']",,,,,,
5,TFT7_Augment_AFK,TFT6_Augment_PandorasItems,TFT7_Augment_ShimmerscaleTrait,6,"['TFT7_Aatrox', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Kayn', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Volibear', 2, 'TFT_Item_TitansResolve', 'TFT7_Item_ShimmerscaleGamblersBlade', 'TFT_Item_Bloodthirster']","['TFT7_Anivia', 1, 'TFT7_Item_ShimmerscaleGoldmancersStaff', 'TFT_Item_Morellonomicon', 'TFT7_Item_ShimmerscaleDeterminedInvestor']","['TFT7_Ornn', 1, 'TFT_Item_WarmogsArmor', 'TFT_Item_GargoyleStoneplate', 'TFT_Item_Redemption']","['TFT7_DragonGold', 1, 'TFT7_Item_ShimmerscaleHeartOfGold', 'noItems', 'noItems']","['TFT7_Pyke', 2, 'TFT_Item_InfinityEdge', 'noItems', 'noItems']","['TFT7_Soraka', 1, 'noItems', 'noItems', 'noItems']",,,
6,TFT7_Augment_WarriorTiamat,TFT6_Augment_JeweledLotus,TFT6_Augment_TomeOfTraits1,8,"['TFT7_Aatrox', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Leona', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Yone', 2, 'TFT_Item_GuinsoosRageblade', 'TFT_Item_InfinityEdge', 'noItems']","['TFT7_Shen', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Braum', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Olaf', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Bard', 1, 'noItems', 'noItems', 'noItems']",,,,
7,TFT7_Augment_AstralTrait,TFT6_Augment_TradeSectorPlus,TFT7_Augment_AxiomArc2,1,"['TFT7_Vladimir', 3, 'noItems', 'noItems', 'noItems']","['TFT7_Skarner', 3, 'TFT_Item_RunaansHurricane', 'TFT_Item_ChainVest', 'noItems']","['TFT7_Nami', 3, 'TFT_Item_Chalice', 'TFT_Item_Shroud', 'TFT_Item_ZekesHerald']","['TFT7_Lulu', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Varus', 3, 'TFT_Item_MadredsBloodrazor', 'TFT_Item_Quicksilver', 'TFT_Item_GuinsoosRageblade']","['TFT7_Illaoi', 3, 'TFT_Item_GargoyleStoneplate', 'TFT_Item_DragonsClaw', 'TFT_Item_FrozenHeart']","['TFT7_Zoe', 1, 'noItems', 'noItems', 'noItems']","['TFT7_AurelionSol', 2, 'TFT_Item_DragonsClaw', 'TFT_Item_UnstableConcoction', 'TFT_Item_StatikkShiv']",,,
8,TFT6_Augment_JeweledLotus,TFT6_Augment_SalvageBin,TFT6_Augment_ComponentGrabBag,8,"['TFT7_Sett', 3, 'TFT_Item_Quicksilver', 'TFT_Item_GuinsoosRageblade', 'TFT_Item_Deathblade']","['TFT7_Senna', 2, 'noItems', 'noItems', 'noItems']","['TFT7_Heimerdinger', 1, 'noItems', 'noItems', 'noItems']","['TFT7_Shen', 3, 'TFT_Item_GargoyleStoneplate', 'noItems', 'noItems']","['TFT7_Swain', 2, 'TFT_Item_UnstableConcoction', 'TFT_Item_InfinityEdge', 'TFT_Item_MadredsBloodrazor']",,,,,,
9,TFT6_Augment_CelestialBlessing1,TFT7_Augment_FirstAidKit2,TFT7_Augment_GuardianHeroicPresence,1,"['TFT7_Leona', 2, 'TFT_Item_BrambleVest', 'TFT_Item_Redemption', 'noItems']","['TFT7_Thresh', 3, 'TFT_Item_JeweledGauntlet', 'noItems', 'noItems']","['TFT7_Yone', 3, 'TFT_Item_Bloodthirster', 'TFT_Item_GuinsoosRageblade', 'noItems']","['TFT7_Shen', 2, 'TFT7_Item_GuardianEmblemItem', 'noItems', 'noItems']","['TFT7_Nunu', 2, 'TFT7_Item_GuardianEmblemItem', 'noItems', 'noItems']","['TFT7_Ornn', 2, 'TFT_Item_DragonsClaw', 'noItems', 'noItems']","['TFT7_DragonBlue', 2, 'TFT_Item_JeweledGauntlet', 'TFT_Item_ArchangelsStaff', 'noItems']",,,,
