leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2e4d8383-40a8-40c1-b556-3ae31d8b88c1,RANKED_TFT,BRONZE,III,IHg1ZRxPl1q2gRyg19YoNTZN2l9kUhPz4eQ6EG-nBgF3G6U4,마법소녀 모야삡,25,2,5,False,False,False,False
98be349a-f260-4ba4-b0f9-16aaeefc1d75,RANKED_TFT,BRONZE,III,QqIWPt2dJNFs0KVjyVmLtNZXnSbaesHOTv5r-Ee05nY9EwLK,남탓 맛집,27,2,3,False,False,False,False
6acda813-b730-4516-be3a-13323ba6946b,RANKED_TFT,BRONZE,III,TPp5KPWKRe3slwsc8EY7EHc-qY2A2JWDm4aYWJMMEUs4sHRQ,쿠키방장,50,35,65,False,False,False,False
6790b4ab-97f4-4b4a-a929-dc059e3caf20,RANKED_TFT,BRONZE,III,_bZESP76zHlJkhwrTJeuYH2JdUOCH1YWzMQZ4BMwuRV9MCnL,탑 법,21,4,9,False,False,False,False
62508e0a-63cc-44c3-a93d-e5b127b19bfc,RANKED_TFT,BRONZE,III,yNbS8GFYHzRlrX3gcv6nkkHu9QvBNlYpWV6ePIbcoOm_3tM,213123145245,91,4,7,False,False,False,False
68560f69-0eec-4d8f-baba-9fc2ed996e6a,RANKED_TFT,BRONZE,III,j5LwmRDorwZKpPCpbSQF3Yp-m1O3Gc86_1oVSDS1cz3KLJ4,위도진,52,7,13,False,False,False,False
25e37df9-f132-4ff8-a3a3-5c887fe1fb67,RANKED_TFT,BRONZE,III,p7pLlZ2045RAt-RfhexvoePq8H2KIFkhE2mNjlg_u2Uqiwk,REDTOD,90,3,4,False,False,False,False
3f348ec1-26ec-43cb-9710-8e32baa0ae86,RANKED_TFT,BRONZE,III,pDlY6GcDT3V7qHAdowneFg-UA1Khe5UvYT0CutlA-DzIXfuz,lucaslucas0000,55,3,3,False,False,False,False
d8be5bc7-6627-417f-b596-4c520f2d051f,RANKED_TFT,BRONZE,III,EZnpDPDROI8H6tojvcVYsHnozTGUsP1_TTFDMLuPQEcYU5im,팀운이 이따군데,6,3,3,False,False,False,False
10304742-5856-45d6-ba0e-4cc063b78ed9,RANKED_TFT,BRONZE,III,ZHvW07ra_bRDAnrg4AQMJWf2bNtMoos-xSSiysiUWe3tEH8x,KMSKC914,49,5,3,False,False,False,False
