leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
56f7fe21-da10-4504-b5a9-60e839d6dee6,RANKED_TFT,DIAMOND,II,t9R-ozGjZDCLi-Q_G3Swyutf7xEZq4UDpjdk39wTDU3zjMY,밀짚모자해적루피,29,76,51,False,False,False,False
639df8a0-f323-4606-a5c8-b8b9cfd49c44,RANKED_TFT,DIAMOND,II,elBwQ1TnVId1MIAIt-rxMBAJpDA4XAMy3ollZOBktVWuzfw,임지환,0,60,42,False,False,False,False
f4092b5b-eccd-4909-a752-0887c09df15d,RANKED_TFT,DIAMOND,II,-6PH1M7AsfabOQUGy2d7SVh2fB6Rlxzv6-kKLdqAV_omX7cD,그녀석웅이,8,80,61,False,False,True,False
05ef7412-a6c1-4266-8904-50a2d2221580,RANKED_TFT,DIAMOND,II,KBOfM9sHr1Hh5ZG2aLwlRK0GUe9zEG5KJ7SzMyGdtQBh3WoL,보지폭격기문재인,0,58,41,False,False,False,False
c6349368-ef45-417b-8b92-4d94f8854298,RANKED_TFT,DIAMOND,II,-j2EFiqkSUbKJGLgdH6-gdpe-pjEZVcLQDP0RzgSVNaq3Uw,다있쏘,40,243,208,False,False,False,False
2ebc84d9-9f63-480a-995d-f84418e828cf,RANKED_TFT,DIAMOND,II,Viqzu5zDagTV6GHVyXPgo0vGhN1OoeZSyNZxE-9W-S2oP6_n,찐두TV,46,64,40,False,False,False,False
1adebe0b-3c91-43b4-ac20-90215502edb7,RANKED_TFT,DIAMOND,II,01Dx8YfNIrSBqP1R2pf4m3eXoeAayHRVWVF0OLUTqQupwqbi,dngius2,0,62,40,False,False,True,False
288854c2-96f5-4922-ba3e-b1a69bbc8664,RANKED_TFT,DIAMOND,II,TSQqBsWeD60Pyny-eeJvlqSJeDIQt1AHgbh0swGn0tbqnw8,동그란잠만보,29,113,93,False,False,False,False
bda6f91e-64fb-4c00-a0d2-f7fc1720357e,RANKED_TFT,DIAMOND,II,ZG8nIXJIKKfRbwBm35NDLQSh9btVaG4vf6n8nhoRYYhjLxVm,TFT Poes,10,143,111,False,False,False,False
9f946732-7653-4c18-a15c-cfe56b4d335a,RANKED_TFT,DIAMOND,II,dTW3nvd47OcWwTxD__6fHblc6R9QWcnIdrWogLYE24FVsGwL,스터디카페노트밑장빼기9단엄준식,25,59,42,False,False,False,False
005aaaa6-f9ee-49c9-885b-cd460922fd1c,RANKED_TFT,DIAMOND,II,E8V96t1-aC7jV2wk6V1XywfHGpwNgXlNRc2BZrGrMYgw5Gm0,zi존현쥰장,3,50,45,False,False,False,False
5c1c34a3-54af-4fc2-b61b-b06de8f56ec8,RANKED_TFT,DIAMOND,II,cJEg5A1YWrXJOoD8_7aQtM01GaWaNQ--V2m7Dc8KAuNO2l-3,난 곡궁,4,224,224,False,False,False,False
5335437b-801c-4fd6-8f68-6d696cd19803,RANKED_TFT,DIAMOND,II,-4PsZtdDCtZuiMyeNvmwI9bqXN-Blvh3Kax2JN78vOQY3JIs,하유미교양교수님,55,69,51,False,False,False,False
7aeceee4-eaf8-44bb-b842-100c2c366740,RANKED_TFT,DIAMOND,II,cjB3Aj8HAuVMh8G65dnVTmg7TwlCsIIvTrgybmETfQhqUlaG,5시23분,11,38,12,False,False,True,True
