leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
22cb12c8-1a8f-4f1c-b41d-6c0b5e2f8fb1,RANKED_TFT,DIAMOND,I,jIF7LE08rXRwxtc0cz6Wf8scXVULoOQxIm-rPZYSPhfu8Hk,LEE CHANG HOON,16,106,84,False,False,False,False
751a60e9-88b0-4337-b615-d4a6b7e23d12,RANKED_TFT,DIAMOND,I,cz5FYoF0Q5vOE3sg0F3z8GLa_f5amh4Mp_tbvbD6R4I1slz2,절망의 사신,21,131,109,False,False,False,False
93b03c69-bc57-4dc6-8da5-c39babb96841,RANKED_TFT,DIAMOND,I,OaBnQUfsVTWdUcYslnNHfT7OzvmmsD36yca3i3VjT9qYefgi,M1up,0,61,38,False,False,False,False
8a21b4d1-a781-4ba2-a3e6-1a8ef2e8ed8d,RANKED_TFT,DIAMOND,I,DZnovUYAkc5BpCGkn8wpoZ-arI1asmVYz2kJCaIslOv9Lbtw,김승유승김승,73,47,29,False,False,False,False
2a101ca7-eaf5-4048-a553-e0b9f6e562e4,RANKED_TFT,DIAMOND,I,tt6BBGnYL3bJSwJkv9YWD0m6c-pneFHmZCH2RjOG0htAgXI,주황가슴파랑딱새,29,171,148,False,False,False,False
93b03c69-bc57-4dc6-8da5-c39babb96841,RANKED_TFT,DIAMOND,I,gYPqK3k77b5OqxHC-6MhtUj8sHDYOusCDwsQxGWPWvsYIpA,망나니두둥등장,87,122,108,False,False,False,False
cb00cfa1-2915-450e-adc5-12e39c76218a,RANKED_TFT,DIAMOND,I,YlAxIWYeiCAI8tYAm6oZ-s1xPbIrpCjnV3I7vpNGYTyOhWPs,helfswl,10,129,90,False,False,False,False
39cb8e9a-f2c7-43a2-9b92-c4420f04af2b,RANKED_TFT,DIAMOND,I,F2FbpN8n0ctsaAjHps2fL7_q4n-i89Jxca-U3P9_qXS40pvT,오우지누,55,222,171,False,False,False,False
cef21dcf-11e9-47a3-8140-407f78fa07af,RANKED_TFT,DIAMOND,I,BPtQqXhBJBi8-qd471QTYmfEA99OunT8TlYUEnPbdXzDJA4,팔협지또일등,66,55,27,False,False,False,True
0418d2c1-9959-4730-9514-8456520d8ec4,RANKED_TFT,DIAMOND,I,ATG5_OoEi7xHnioTfh4906oaxBq3phXSP8jgYa4RraMoNxAv,1GG5,21,85,50,False,False,False,False
1c823318-27ac-4cab-859d-c32e0b2020f7,RANKED_TFT,DIAMOND,I,LAfhdT4wtGOfKpsbYoSfqGoR-xGSfA-KbPwBWPl2hIgJK4rD,yolo1992,0,57,31,False,False,False,False
95578745-e47c-4c4a-b96d-3062f7ca32cd,RANKED_TFT,DIAMOND,I,qZHORPkB9T1cKJY8XcfqCo05j2M9id2P1OuLcJDusLH9vs0,파송송은섭탁,41,65,43,False,False,False,False
288854c2-96f5-4922-ba3e-b1a69bbc8664,RANKED_TFT,DIAMOND,I,qpWQ8XAbfKDFFnUYI9Hq0yNndFljSi7OYVfHq4QuKaz_ro1G,오육디스크남,4,72,49,False,False,False,False
6005d048-a022-4f6c-a122-af3a5793df95,RANKED_TFT,DIAMOND,I,1sZW9jLZcs29vcWsEDOPOYsvfGebSEW0_Maxir4so0RS94-T,내가태식이여,8,173,143,False,False,False,True
416e19d1-c1f9-44de-98f6-81aec1317aba,RANKED_TFT,DIAMOND,I,IGOPevOyeECJO2q6Xn1-K6GcFt-091eHyQsGfC98rcMdV89U,일병4호봉권혁진,15,200,180,False,False,False,True
9107247e-9e7b-48d5-bc54-99b34cc2e685,RANKED_TFT,DIAMOND,I,00G3KOZnrKOvHxFb2ZJvSsV2F7SkSjy6AZf_nOePwrM-82M,mnmnmnmnn1,53,171,162,False,False,False,False
b171978b-83df-4be1-928d-dacb783e103d,RANKED_TFT,DIAMOND,I,e19te4xlO56vSV2WO25PKoJb5WtM0br5j41HARrFyY56hTgo,피크늬,0,94,74,False,False,False,False
7967b548-4fbc-4ea6-91aa-38bebd69a28d,RANKED_TFT,DIAMOND,I,6Z6GxjRx9HgRrkhEGW325trpsqu_ti8awEoPG3nxm3LesiBK,흥민이커그리고나,41,73,59,False,False,False,False
56e12273-00ef-423f-a037-35bd85d29fa6,RANKED_TFT,DIAMOND,I,VGo_kB51utTRrKbtlK6Wmpeh5UawoEo1xmrr0h7Gx7WGGvc,김슬기님,30,205,189,False,False,False,False
d8244ff8-94a0-4ba1-9f1e-673a63d67f7c,RANKED_TFT,DIAMOND,I,HvFjA-S9F8QfxaSLeKUaITNU1A-4siSBXaGaAO2j55Ufu7U,T1 Jellia,0,107,81,False,False,False,False
4ce36302-3684-4fa6-aae1-36f03db650b9,RANKED_TFT,DIAMOND,I,K1nCq5vi3-KiUZ0p1_xOm6SL7jaDaC3POw2-toB82N02ZGid,Au revoir Cherie,28,94,71,False,False,False,True
ed7b0000-1961-45ef-9b9f-1533f676149f,RANKED_TFT,DIAMOND,I,ASkBYOyOQ_7kQKg-LZFpee7hrK-vL2mnb8y30DD2z-F69Lg,서렌안침겜만해줘,51,148,128,False,False,False,True
4dec5434-aa77-4b03-be51-44f6212cfc80,RANKED_TFT,DIAMOND,I,qDvl3ZX4637T96eEXmCJRcuQFCUI7MsF2VKvshPBDkzx7WY,정팡희,42,108,80,False,False,False,False
3be4bedc-2b5e-4034-b4d2-8351c2ada23e,RANKED_TFT,DIAMOND,I,CGWsKe-3AooAETnbSqt56ZZR5fOgtasCmegYKVmXLPjwqbmG,오우야이집잘하네,7,68,52,False,False,False,False
c00afc63-797d-4baf-991e-b2aaa4ca1e1a,RANKED_TFT,DIAMOND,I,W5il5llStLXXzwdvw1bMwmKUTwMyS7F1LuPKpj6YJcniV-c,홍제동개미잡상인,7,88,80,False,False,False,False
c8bf4cf7-ff65-42ed-b5b1-430ff42396ea,RANKED_TFT,DIAMOND,I,q9RZc-bmthastJiT6ZTdlKY-ziSzfPzhTJdA-0Grhy7V9kQ,나한테짜증내지마,21,50,32,False,False,False,True
618fc714-ce2a-4ec1-aada-0325a0211a3e,RANKED_TFT,DIAMOND,I,iPPwiHWm3uFFjcs5dsj1vKI1verSCBv5dX1dmrEgOEFhwO9o,난웅영,91,92,73,False,False,False,False
04866cc6-f43f-4178-bb8e-f819b3696683,RANKED_TFT,DIAMOND,I,5iyAtG5mH6k-Z9MqPhOOA4SI8kdS0Mn48t4WMeN0XJxZiX7A,백수의왕김승유,79,38,13,False,False,False,True
1393025a-d05e-4002-b415-51366f618534,RANKED_TFT,DIAMOND,I,kVu5tlhBFeJaQOYa3d-m7ujcTqyfLkePSmmdUXq9fnx3hss,루카에르난데스,27,105,89,False,False,False,False
