leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
59741e6f-d8f5-4186-9f44-94aabd0de22c,RANKED_TFT,GOLD,II,t2h3UQADUAW6PhzlZHcLkOMLrW-95b5qdj4Aix4TcnGxT-Kj,biopeni  ,25,58,64,False,False,False,False
d0b18307-9842-4701-b603-0de7e4541249,RANKED_TFT,GOLD,II,zzGii-vtLSiJwLs64prnEd4UMCobNpYlSIY96l9YMscEZQmm,guminiesisisi,85,26,20,False,False,False,False
0b7551ec-6415-4a94-b5dd-4ae80a76e191,RANKED_TFT,GOLD,II,KlqkAGm9zzPwxQ-JrRdEGJwn7oEusEFKt66N3ML0qqkPf_wQ,강하지니,53,43,38,False,False,False,False
97d1247e-05c7-4fb9-8c8a-6bed37cd6ede,RANKED_TFT,GOLD,II,K2A-0SpnfvIM1b9dRG0y4S6WVez4zap6Aou1B99fKI08GO8n,뭘바시바견,22,53,50,False,False,False,False
f51f12cd-0304-4459-b3ea-c5834e79e630,RANKED_TFT,GOLD,II,4Fm5BEdEsGvg-44fgi_M2g2cqfIAoKGlDT6g9gdUcidNBA0p,itzzi,24,7,2,False,False,False,False
bebcb95b-c974-4a5c-9543-cc489d85fabd,RANKED_TFT,GOLD,II,KEtOzPT0iJd3S7Ng8l8nGLR1FHhdAT9v3nVBfCJgi-MRQItx,지니아건이,79,29,26,False,False,False,False
b8d815bc-3502-44f2-8cc2-f38e53bf8ed9,RANKED_TFT,GOLD,II,ZpEHVOlhGjG5CZ1AOyjv_trKqS5XYXt5Na8SW1NUUEYi6CY8,착한백수,33,31,21,False,False,False,False
2b4873f3-8a72-47ef-abc7-79ebdfe002eb,RANKED_TFT,GOLD,II,IoeylSXukVQiGngLrtbzFh0qfZ9WEAmLZpH0Vkaz_aRgXTQ3,제천살이n년,70,29,27,False,False,False,False
612b0213-3197-4eb9-9d83-21b4303afd70,RANKED_TFT,GOLD,II,dFXLE1d7ndA09TWfJpSd8scgj3QHO-0NLZrGTUlgHsFFwY2R,물어AI,15,24,24,False,False,False,False
62cbc443-e528-4c1f-bd90-d018d320ee75,RANKED_TFT,GOLD,II,wxtLAw1OfMtwTT3IgPwaKdLDmXwuYwNaF0Iq7cuNQrWo6MQ,S 코알라,60,81,69,False,False,False,False
