leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
f94969e7-decc-4c29-a2e2-e75a5adcfe4f,RANKED_TFT,IRON,III,D2uvKEXoJY9IXnavRV8r2Y7xSixU_XuW4-wGX2jlJK5oIeb3,핑키는 중2병,65,0,7,False,False,False,False
5636ec5e-9dad-417b-aae7-c6d65e453617,RANKED_TFT,IRON,III,uSNuBCwhHQPkxqc7oE2SMsuCFJ30oDMvNiWu09GmCzO7M_i4,jajajajaj,75,1,13,False,False,False,False
ea3727e3-ee90-4ed3-8df7-e8ccc2d8df78,RANKED_TFT,IRON,III,3GXDQv6n0q0sk1x03fH9fHY9ToVcB_vVv322DwtIDSC_1LvU,딱대민서나가신다,65,0,7,False,False,True,False
129a4462-1549-4abb-be95-bb45e607ba90,RANKED_TFT,IRON,III,fU3tbAmej_waBwYLANVcbACGmC0twpRmfXO3N9MPOUijVMlw,moonbyuly,35,1,17,False,False,False,False
c4cad4a0-5f49-4673-bb84-24687cb73190,RANKED_TFT,IRON,III,8ZH1yxNrRimdBafgpPABS4SVCCqqIina_KFLz6muth_gWycG,이춘3,87,1,8,False,False,True,False
2263df86-c3e1-42e8-b152-31aa75deebbf,RANKED_TFT,IRON,III,jJbMWLiGxvXDCS7FwZguKRZsI7rx3AZjL5GxQ8GSt040KEI,아띠퓨어,55,0,8,False,False,False,False
bcd07c9e-a4e2-4895-88b2-ab50f938d6f6,RANKED_TFT,IRON,III,z_R6nshW6C3bxrZAA_nFuDJs0l-Ut6MaowXhWolpuSn6xqMH,두두연,65,0,7,False,False,False,False
eaa36033-7238-4acb-ba61-04b0f1241e41,RANKED_TFT,IRON,III,X-5IpxI8oGyKNwIHvpYsqaRCUpYopLP1jWpScPDENyyaSU6i,굴굴굴소스,75,0,6,False,False,False,False
dbdae03e-96bc-4d10-b62b-2a935b65fb7d,RANKED_TFT,IRON,III,A9XG8TxVnljNLhwt_qgy7c4oPLB5nPcN30xTt4FfMfTlKASc,하 지My새 기 야,75,0,6,False,False,False,False
0bb06b8c-065a-4efd-81f4-749a010c4171,RANKED_TFT,IRON,III,Qdh1g1kLTpYJdE4xFjrvD89U7ZkQ96I-tkl4G2IQwacwqsSg,탑이싫어여,75,1,8,False,False,False,False
67a0b951-0a42-456b-b84d-a5c14e7beb3e,RANKED_TFT,IRON,III,Km00ofdYXX8dnsXcxBdBpgcG5GDhLw6C7SXunjmThgCyJvpN,키연짱,32,2,32,False,False,False,False
e33a4938-5027-499e-a2d6-fee862d602dc,RANKED_TFT,IRON,III,f75RWneUcNgNrK3yP9HzhbFK9mgRPnAsQtt4aT4iCfFgkLgC,janhwa,45,0,9,False,False,False,False
a7347b30-88b2-49a2-87cc-48f6a51417b3,RANKED_TFT,IRON,III,lVANo1ceP16HaQLlLZX00vywPCn4SGli8YnHLM9BGFuvQqFN,IlIIlIllIIIlIl,75,0,6,False,False,False,False
ae58aef2-852c-4835-988a-aa93220099bd,RANKED_TFT,IRON,III,yFrEXdcjcz6HKsg381bgoz0LpKnradgFr9cMdffIv-ZMDiBl,동히왕자님,45,0,9,False,False,True,False
9c70af9f-5028-4243-9066-73e412e22816,RANKED_TFT,IRON,III,XY0PbuTBE_1NAXVDr-BG1g6FZqrAD1-TVOkUl6popmfOBb37,김류1완,75,0,6,False,False,False,False
d0d4f826-4bf0-44fa-81d5-2a8a601b4f13,RANKED_TFT,IRON,III,BVA6Cq2TdridcI51OaXUg18R1iIxQlX_UdWnghZuhBJkFOk7,해찬이등근육,75,0,6,False,False,False,False
ea615c55-941e-48dc-a4ab-5d00dee59504,RANKED_TFT,IRON,III,u8KpkuPkVT3bbWdi-7mbfgechm161IVnpR6HuKZgBSVVzC7D,러미브이다,75,0,6,False,False,False,False
ac6ba9a9-65b5-44ab-9843-b9d875d8abf6,RANKED_TFT,IRON,III,08uU1goDgwWn2n1hFAXpt4T79_cWC6CXo-6yOXXbkVZSvn1P,진이냠냠1108,75,0,6,False,False,False,False
6f6f200c-ea85-4026-a058-ab6c3a55328d,RANKED_TFT,IRON,III,5lAIMYLmfQ2GqJRzUJA4YiV-4ex9W8G3iu8IbBOpA3p9pobT,48리롤그게먼데,55,0,8,False,False,False,False
2295fc96-852b-45a9-a102-82e7cfead42c,RANKED_TFT,IRON,III,ub1f1RGq7f3guma3bTyhf1ale3ldrG0bWKEPdzih0Zr44mE-,명륜진4타장전,75,0,6,False,False,False,False
c63a07f4-04e5-4179-a0d8-510c3ab3315c,RANKED_TFT,IRON,III,QGV-2p_u9hJU7CALSe1SSp-Yf65cBkRUdb2Uxt2UtOsMjjEF,똥꾸빵꾸1210,75,0,6,False,False,False,False
f2867421-b01f-4dd9-a183-7801c3403c03,RANKED_TFT,IRON,III,GtH2bZd0KdOIWUJZcu8YsTz7NMjINKAzLXrP651VvfklO1kM,흐앙 귀신 무서웡,75,0,6,False,False,False,False
629e7a8c-41ed-4414-ad2e-c21d3efaca59,RANKED_TFT,IRON,III,nadcLxwiaC_q5919dwLGzFDSqHXNLw3SV7GPzZIm6SUmCFed,WF Black pizza00,85,3,17,False,False,False,False
0c422e6d-753e-49c6-8d9a-00b50c2c06d2,RANKED_TFT,IRON,III,XVAmC8W3i-O-TmsXxx7V2al6UZcn1Zhj3wNO-9pqUR3RDk-L,북방의 폭풍,25,0,11,False,False,False,False
2f5440c6-b229-4629-b60b-1e6bdc366f76,RANKED_TFT,IRON,III,CwZgAiV5TSs6kr-EEmjcIxDfTOkq2sJBHJJ2D1F1c-cMpi6v,신호리그,75,0,6,False,False,False,False
b4c5be66-b9ce-493f-bfa3-dbd055ff23b6,RANKED_TFT,IRON,III,K3nCgrhO-RXpsIzGNkCk5SBk8H3MG0FtfxQiWoenQRBAPeG-,JINSANG,75,0,6,False,False,False,False
42eb0aac-ad08-4320-808e-611fc550b41b,RANKED_TFT,IRON,III,R_zWvCpxg9JJ0vcWsg6qTT5W-ctD9sxTIPWi3U76y2OzJeJn,정민이다옹,94,1,7,False,False,False,False
6fa064e2-29e2-406e-a02d-be28028bd32d,RANKED_TFT,IRON,III,hLnsdt4nUP35aO6dSg87OHO_ChTWWb-nZC6JOykMp-FJF76s,chaesub,55,0,8,False,False,False,False
30dd75b1-5213-40d7-8b41-840a4eaeb9ad,RANKED_TFT,IRON,III,Ja_6flVgSP-S19Q8Eeoo4cD6Oq85Nv_Uz6a2WLcvYCdT2Uhe,I jaehyun I,75,2,12,False,False,False,False
ec3ae40e-cc08-4884-8c70-04b600c67fa1,RANKED_TFT,IRON,III,zt1ZjMD0xwXr0XroMpazb-y-gc2zWdZDuE1EvPJAYXjm_anK,천민개미,65,0,7,False,False,False,False
88b28cd8-be90-4aab-b660-781fa53a52b4,RANKED_TFT,IRON,III,V6Lk8RGbL-2rhXb6WOqrcEz_bWOKyed5SwQUpBG3u6yY0cB7,화랑윤,65,0,7,False,False,False,False
728708c4-0aec-41f2-8ff4-8d048687129b,RANKED_TFT,IRON,III,eiCDChAexVhth0wtwWsjv4B9UyMjypjXMpWI5RLcH4QTNM2w,lkjasdfhg,65,0,7,False,False,False,False
511ebb71-fab9-41f5-ab24-35198c4bc9a3,RANKED_TFT,IRON,III,J0lm85QPZ9StudjSOwEEJtIBsehS7nW8WwGBWt_f0wqCMlEF,ROALWM,75,0,6,False,False,False,False
c1a4fa93-6458-47fb-9e03-efe32a1c0e19,RANKED_TFT,IRON,III,MuAYMVspeTuKoxZf-OFdHJfmjJvmunT3pIBuir_fUi1nY3pO,궁서채,65,0,7,False,False,False,False
796a0f34-e35c-4947-a7b0-d9d82cbf7213,RANKED_TFT,IRON,III,IiW_NPoG2oE62hdv1_T_rUEoM1uK9vft1cXJA3jX6tYb_AGL,쨔브쫑냥이,75,0,6,False,False,False,False
5958f5cf-ac0a-4a7c-99b1-d3410e392042,RANKED_TFT,IRON,III,ufwgRno8o4g5LyLJWsqJ8bOo9WuhmFianRe0FJLO9duYdnnD,DZDZDZDZZDZDZDDZ,65,0,7,False,False,True,False
f270165e-8a1f-43be-8011-cfc120562af5,RANKED_TFT,IRON,III,iRkIKtlkkkw1uvTqrItNkuXQnyXaTHLczhVOKBBd6aqyeNRH,유우우리이,75,0,6,False,False,False,False
88c2136f-e939-41c4-8d5e-8ae02e80c7ac,RANKED_TFT,IRON,III,KYjy-RN3jbyggjQqL4I4yba-yHZvJDAACJPTfY3MsR3afaFc,엄지올리고지건,75,1,8,False,False,False,False
5f77f3af-7f50-48a5-a7ea-b7dd724bdb6b,RANKED_TFT,IRON,III,aat_rVuxJrXmZzZENyaXh1mR_pacs4t1OotIqbh5zp08rWO6,머락머락머락,55,0,8,False,False,False,False
af5f0fb3-c1a3-4bfe-8ca9-b53170ba4fdd,RANKED_TFT,IRON,III,4lRguafKS_kRd8okWsaaNuTXO7vUG8Ts-DQI_YQTtiIDSMHJ,Beta version,75,0,6,False,False,False,False
61202e11-70d5-4619-9f9a-523634e8fed7,RANKED_TFT,IRON,III,PZcW6Ak_me2HVRcebHpJ3sz7R10wIdlacVeYMYduwqvh05Mr,심해원챔,75,0,6,False,False,False,False
94ad5e35-d700-4b05-8188-a9bd17782c23,RANKED_TFT,IRON,III,AhcQ5sH1r8cTGa_pYBbxxSbNvckaNs94JSA54SpSjtxL6Her,블린이형바텀좀봐,65,0,7,False,False,False,False
18a5d1c6-23e6-4b04-9b32-c7056af57069,RANKED_TFT,IRON,III,Sg22fJgQjl8CJ7T0bqkCjJo4lWwd5WiBCqzRyEGcEce8gkhI,강구벌래,75,2,13,False,False,False,False
331636ee-59db-4810-bd59-b98f663d7a81,RANKED_TFT,IRON,III,URGvSBFgR_rrQ3rgIWs4DqMh1mrWJOG-SWa7YohmUk9Ps_Hi,태온7,65,0,7,False,False,False,False
ddc8cbc3-def0-4ed0-b515-0921830b53c4,RANKED_TFT,IRON,III,kR4-1aHm2ddAPqbkRSLkMM4yS5XQZLvrRX6uI3rQjcdJFuNh,한정규123,88,1,9,False,False,False,False
56e20448-b2e3-4284-bd18-0f42c4863262,RANKED_TFT,IRON,III,13F-DMcsepACXkiLjMciLL061tWjPajbfVBS3ccKd6uTVdqw,김밥말이몬,25,0,11,False,False,False,False
dec366d6-4b71-4a83-8baf-0e280507bec0,RANKED_TFT,IRON,III,j3TDMJtee6fbqBh9zjAK_X6ew7vhjX3esreln6sFp-sl1hZf,도학자,75,1,10,False,False,False,False
4d2aaab2-ebfe-4be1-9322-effba9cb2e24,RANKED_TFT,IRON,III,p19cM0FSY_HmtkdBLlOQ6wGqX0L2Wk8PQSDBp4HSJhzydRYg,가끔씩그러더라,75,0,6,False,False,False,False
89ef9040-a6f3-4764-b8e8-5ffd1704f08c,RANKED_TFT,IRON,III,bh3JiJbtYlZREXvU_GTVfXHJD6aGrZAQfR8gvAKHsrWk6Whh,잘생긴 김춘수,25,0,11,False,False,False,False
32433685-8153-4ed6-add5-5a50251fb362,RANKED_TFT,IRON,III,RuYHJamiT9jwTvK9uu2RWL0_l2X_WSpdP4f6C-nwEmK9Se3K,추추는푸들,65,0,7,False,False,False,False
285189d0-ac5e-468d-82f9-23c18785651c,RANKED_TFT,IRON,III,CoyeMq_vd7QsZ4YT5U7E5ITIUm6a7iF3kNrTJ41Vw5EhiCQq,lillillililliill,75,0,6,False,False,False,False
fdb4bd26-2626-47ae-b5ff-69313143c6e1,RANKED_TFT,IRON,III,xsd2sq1Le3RSxy0z66dgdMKKpSc3k7FZCxDrCPGuxQWbtf3B,50이,65,0,7,False,False,False,False
9129cd22-ce9a-4e3e-b383-6c79ea92098f,RANKED_TFT,IRON,III,AxZf3C7WOXQyyVESQwNYxOc-LKNATX4t4z9tRTirdm2QwNV7,김만두8540,75,1,9,False,False,False,False
41af3804-7b9b-45bd-a52e-8fe450d4c8a6,RANKED_TFT,IRON,III,Agi0Ufwlf-2Tn84GjPdiQfzMQydn_HX7qgzG3Y_OsZgwB2uv,Dont use spells,75,0,6,False,False,False,False
4e6dfc1b-8222-446d-b027-a9b882fa2cd2,RANKED_TFT,IRON,III,OT58twQeQpK1iLPSVkWRbUHvBTI4VbN8yoXjSkOccSpfLL8T,GSM인력사무소장,45,0,9,False,False,False,False
cf3b935d-0fd3-4c95-bc97-d92035936865,RANKED_TFT,IRON,III,XwAL0PdUPIXT6lmgapbCM_tZW4fpjIpP_uEWMQlN0VPb09TP,나는야꿀주먹,55,0,8,False,False,False,False
6975cdd4-8277-43e3-9390-210478e60a5b,RANKED_TFT,IRON,III,IEIm8dbdHC5k5hY9hM7Ck-ZJMPKTtbs4yHG8tXInCt0b5m9S,아카이 하아쨔마,75,0,6,False,False,False,False
7cbe790f-6bea-4ecc-8b77-b3e93df86634,RANKED_TFT,IRON,III,n_DGCHVCEiFiTUKLA5xpfF2iT0UX1iOna78ZfJUSJj40buoO,엄 하,25,0,11,False,False,False,False
b500be8e-2ced-41b6-8d14-6469fac1b557,RANKED_TFT,IRON,III,inOFUXfFfTi7RKuRD3RkNskzpMpH1_xLYLZRb2IUF6Q1XQSP,FNJAWK,55,0,8,False,False,False,False
abccd341-2eca-44e3-99c8-278b9476ada2,RANKED_TFT,IRON,III,qdTEqa6PdwxMcFVvd_KRkuOFYpGm92WavN27_PBF5-EVNz8,L토O체L스,73,1,8,False,False,False,False
6be127d7-e7cd-44a9-8453-6572d30e6dc4,RANKED_TFT,IRON,III,egJbc9ifoaphK7VygEtmGGeKcbBUN3Kh6FqZIWdLt81qGXRT,KTX타세요,67,1,10,False,False,False,False
9d2f827f-2506-4c11-8b80-d57063eb7823,RANKED_TFT,IRON,III,5i0YQpaQwE6_GAQmqKCRtmB_JDyKuOcbz0LzKwGOjM6uZyay,괴물아이1,75,1,10,False,False,False,False
e2b5efb0-9442-4378-bd9e-7484037dee35,RANKED_TFT,IRON,III,vNUpDMZGoFOyJuyWYXbsVmgIbsKNUIHh7G--h1iZbImVlnVH,game withoutchat,65,0,7,False,False,False,False
6130ab81-991b-43cb-8eec-2e56a5919b6d,RANKED_TFT,IRON,III,799XFlMZiR0wABbjdfxjYkgTwO8-_BwRfwey-osSx3ouORyb,lateeeeeeeeee,65,0,7,False,False,False,False
19b9e6c6-48fa-4626-8e24-5d08f94f2662,RANKED_TFT,IRON,III,qb6PkgdSBro7HzY3jWANhICocXv6YI_-SG_9bHq5paNGBZ2F,hihi하이하이,75,0,6,False,False,False,False
