leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
ce90b56f-8c66-4853-9532-42c2a5f62a8b,RANKED_TFT,PLATINUM,I,1pfu44KSV7u6RedhxTxtQ0Rfy0UvlyEMXmRbS3O5OYqjeOti,지은희선,0,114,103,False,False,False,False
68357101-3495-4ae6-b2ef-5dc96f2f45c3,RANKED_TFT,PLATINUM,I,ZwKPSkMldh78cNJ2s1qTD00Tn8JiUy-djRlj-QAxCowV7u98,YoYoshi,5,79,64,False,False,False,False
413e1257-76e8-4746-b17b-9fbc26d185bd,RANKED_TFT,PLATINUM,I,lxAPTc5SWgNvU2-E3IiPBhoypVIf1ZIBqpgugIRsCdX8Ujmy,몽꾸냥,22,34,23,False,False,False,True
472f7141-6cef-4c51-aaf1-63ca908a94e1,RANKED_TFT,PLATINUM,I,3hkeDJtIa5b_XgFL-HLsBAw3qfPyXrxQs5eTItc3woaY_qgd,알타이르a,52,102,96,False,False,False,False
ae4d0b31-d5bc-4868-9857-95e0b7d4090f,RANKED_TFT,PLATINUM,I,ijlv8JK0fGozDiOJnM6X2YRzPTdP5V1iNZKhJzAzPLviGx0e,롤토하다뒤짐,0,88,78,False,False,False,False
8d41bb0d-d99b-4a08-9855-866db2409a42,RANKED_TFT,PLATINUM,I,Lt7o9LFVC1QzuCwR5yEoyXuXmpyFiC86jvEpBlwlBZ2XqnQ-,킹왕짱준원,0,127,105,False,False,False,False
917b50a7-79d4-40ea-a9b8-55dee0f60b5f,RANKED_TFT,PLATINUM,I,6o1BwPoHGjEjUfHd85U3IEmJjFeFAp1JCuDlnEbObglSwtw,융구링,41,59,43,False,False,False,True
a755eea0-3840-4ccf-bbf0-6d678a9bba6f,RANKED_TFT,PLATINUM,I,hYnMohOrWJjiYjAonZBmKKeGTSqKS97dSWvRqxXVsbHtJAea,깡유준,0,38,29,False,False,False,False
55dd91fb-e2d8-44e4-9335-f9e025df4280,RANKED_TFT,PLATINUM,I,xZ4DwC9XBlpB957gPgF_KJSMhCxfgJ7yRwFl5tlkFPQ8Qpe1,강창강,32,55,33,False,False,False,False
265a6779-9dc5-4e41-b995-2b74db779f96,RANKED_TFT,PLATINUM,I,RD1NFhsNGDaAZLke2Rg30P-WpL4GyRyCi9kBcxygZQJNC6A,또저만진심이었죠,34,47,35,False,False,False,False
